id,favorite
"11762","6"
"18448","1"
"21965","13"
"29346","7"
"47262",""
"50684","2"
"53824",""
"54991","58"
"59893","10"
"71146","1"
"83553",""
"86458","26"
"86477","23"
"94809",""
"98074","1"
"100919",""
"102496","3"
"103177",""
"118599","2"
"120116","1"
"121493",""
"124674",""
"124885",""
"129544","1"
"129629","1"
"136219",""
"148879","7"
"152419","2"
"154430","17"
"158800",""
"162031","1"
"167252","1"
"170689","7"
"179425","1"
"181581","2"
"188134","1"
"196177","1"
"197388","3"
"201153","3"
"202011","359"
"206438","32"
"206793",""
"209242","10"
"211169","3"
"211941",""
"212510","38"
"212763","5"
"213568",""
"229596","9"
"234234",""
"239463","1"
"239979","2"
"240224","3"
"243646","41"
"243995","0"
"244019","1"
"244152",""
"246822","2"
"249540","2"
"249567","6"
"252882","4"
"252974",""
"254980",""
"255171","4"
"258889","3"
"261785",""
"261873","4"
"262756",""
"264889","1"
"268320","4"
"269101","1"
"270010",""
"270625",""
"273452","73"
"281068","1"
"281843",""
"284500","0"
"288287",""
"288732","10"
"289601","2"
"290548","279"
"291744",""
"295538","102"
"297498",""
"299793","1"
"300582","6"
"308756","15"
"311677","5"
"312621","0"
"317652","4"
"318039","0"
"326818","46"
"327654","3"
"332477","1"
"334259","3"
"341956",""
"344774","1"
"354068","1"
"359342","39"
"360838","2"
"379276","3"
"379319",""
"379941","1"
"380336","4"
"384725",""
"390853","1"
"393118",""
"396324","1"
"399155",""
"424517","3"
"425688","14"
"428478",""
"430386","1"
"430599",""
"431013","9"
"432753",""
"434404",""
"436760",""
"437864",""
"438142","1"
"438704","4"
"439253","2"
"440463","18"
"442658",""
"443411","2"
"444248","4"
"447785",""
"450380","20"
"453404","0"
"454368","1"
"454771","1"
"456837",""
"457307",""
"462160",""
"464478",""
"464580",""
"466482","4"
"473173","16"
"473687","39"
"474259",""
"476701",""
"481098","1"
"483197",""
"485103",""
"486000","1"
"492954","1"
"494782",""
"497428","6"
"502001",""
"503220","1"
"503967",""
"507124","1"
"508608","3"
"514307",""
"514688",""
"517628","0"
"517635","3"
"518635",""
"519781","2"
"519872",""
"521220",""
"524676","3"
"526711","50"
"529485","2"
"530330","22"
"532070",""
"534664","1"
"536352","14"
"538708","2"
"540161","1"
"541219","10"
"548462",""
"550210","5"
"550742","2"
"557979","4"
"562350","15"
"563037","11"
"564137","1"
"564632","2"
"565425","2"
"566011","1"
"566179","1"
"566570","30"
"567303","1"
"567858",""
"568970","1"
"569871",""
"570042","7"
"570605",""
"572656","0"
"578679","3"
"579035","2"
"580817","5"
"582556","4"
"585320","1"
"595165","1"
"597880",""
"598949",""
"602625",""
"603271",""
"604210","9"
"604290",""
"605498","2"
"608120","7"
"608453",""
"609127","4"
"609553",""
"610013",""
"610080","1"
"611092","5"
"612178","2"
"612957","9"
"619921","1"
"620134",""
"621189",""
"622900","1"
"623159","2"
"623815","7"
"626303","2"
"627353",""
"630566","1"
"637090","3"
"639034",""
"639125",""
"640116","5"
"642515","1"
"642834","1"
"646395","11"
"647696","4"
"649141","7"
"649149","7"
"653304","2"
"655042","1"
