id,score
"11762","40"
"18448","17"
"21965","17"
"29346","9"
"47262","8"
"50684","2"
"53824","3"
"54991","231"
"59893","27"
"71146","2"
"83553","1"
"86458","66"
"86477","137"
"94809","0"
"98074","9"
"100919","8"
"102496","7"
"103177","0"
"118599","4"
"120116","7"
"121493","0"
"124674","1"
"124885","2"
"129544","4"
"129629","2"
"136219","1"
"148879","31"
"152419","2"
"154430","18"
"158800","1"
"162031","6"
"167252","1"
"170689","10"
"179425","4"
"181581","1"
"188134","5"
"196177","0"
"197388","8"
"201153","3"
"202011","709"
"206438","47"
"206793","1"
"209242","14"
"211169","21"
"211941","0"
"212510","62"
"212763","8"
"213568","0"
"229596","6"
"234234","4"
"239463","6"
"239979","2"
"240224","7"
"243646","66"
"243995","2"
"244019","3"
"244152","0"
"246822","3"
"249540","8"
"249567","10"
"252882","20"
"252974","2"
"254980","3"
"255171","2"
"258889","3"
"261785","2"
"261873","3"
"262756","1"
"264889","6"
"268320","5"
"269101","5"
"270010","1"
"270625","0"
"273452","118"
"281068","2"
"281843","2"
"284500","3"
"288287","0"
"288732","14"
"289601","4"
"290548","534"
"291744","0"
"295538","193"
"297498","1"
"299793","0"
"300582","3"
"308756","17"
"311677","3"
"312621","1"
"317652","7"
"318039","1"
"326818","85"
"327654","12"
"332477","1"
"334259","3"
"341956","1"
"344774","1"
"354068","1"
"359342","22"
"360838","1"
"379276","8"
"379319","0"
"379941","2"
"380336","8"
"384725","0"
"390853","1"
"393118","0"
"396324","2"
"399155","2"
"424517","12"
"425688","29"
"428478","7"
"430386","2"
"430599","2"
"431013","19"
"432753","2"
"434404","0"
"436760","0"
"437864","2"
"438142","1"
"438704","10"
"439253","0"
"440463","55"
"442658","16"
"443411","17"
"444248","5"
"447785","1"
"450380","13"
"453404","2"
"454368","7"
"454771","2"
"456837","0"
"457307","5"
"462160","0"
"464478","1"
"464580","2"
"466482","15"
"473173","52"
"473687","66"
"474259","0"
"476701","0"
"481098","3"
"483197","2"
"485103","0"
"486000","5"
"492954","3"
"494782","2"
"497428","3"
"502001","1"
"503220","1"
"503967","0"
"507124","2"
"508608","4"
"514307","0"
"514688","6"
"517628","0"
"517635","4"
"518635","0"
"519781","7"
"519872","2"
"521220","0"
"524676","4"
"526711","80"
"529485","4"
"530330","109"
"532070","2"
"534664","0"
"536352","62"
"538708","10"
"540161","4"
"541219","9"
"548462","-1"
"550210","16"
"550742","2"
"557979","2"
"562350","46"
"563037","25"
"564137","0"
"564632","1"
"565425","4"
"566011","7"
"566179","5"
"566570","54"
"567303","2"
"567858","2"
"568970","1"
"569871","1"
"570042","15"
"570605","0"
"572656","3"
"578679","3"
"579035","5"
"580817","3"
"582556","10"
"585320","2"
"595165","2"
"597880","0"
"598949","0"
"602625","1"
"603271","1"
"604210","34"
"604290","2"
"605498","1"
"608120","26"
"608453","0"
"609127","6"
"609553","1"
"610013","0"
"610080","3"
"611092","3"
"612178","7"
"612957","28"
"619921","13"
"620134","0"
"621189","1"
"622900","7"
"623159","2"
"623815","39"
"626303","2"
"627353","1"
"630566","4"
"637090","3"
"639034","1"
"639125","3"
"640116","6"
"642515","11"
"642834","5"
"646395","13"
"647696","7"
"649141","17"
"649149","16"
"653304","0"
"655042","3"
"655137","6"
"656373","3"
"663440","1"
"663768","1"
"664673","81"
"665386","2"
"667412","1"
"670615","4"
"672506","2"
"678873","7"
"680206","0"
"681583","31"
"681991","2"
"684662","1"
"689170","8"
"691085","3"
"695802","18"
"696307","4"
"697065","2"
"703272","333"
"703450","3"
"703757","5"
"704420","1"
"704798","2"
"707785","1"
"708210","9"
"713064","0"
"714308","0"
"714574","2"
"715113","0"
"717570","1"
"719556","2"
"720710","2"
"724257","1"
"725387","0"
"728108","0"
"730206","3"
"731146","10"
"731528","1"
"735193","0"
"740584","2"
"740812","3"
"740837","4"
"743076","0"
"744530","12"
"746347","10"
"746377","1"
"746816","1"
"751759","4"
"752108","2"
"757001","3"
"760166","5"
"761889","1"
"767408","3"
"767978","2"
"769268","14"
"769634","0"
"771535","1"
"774627","0"
"777607","224"
"778990","0"
"781312","2"
"784848","1"
"785016","21"
"790232","36"
"790592","3"
"790676","3"
"797445","3"
"798266","2"
"800463","38"
"800685","140"
"804155","2"
"809602","1"
"811988","0"
"812105","12"
"812894","0"
"815740","3"
"818704","157"
"820289","6"
"821817","8"
"822969","0"
"823821","2"
"825709","2"
"827518","3"
"834694","0"
"835012","0"
"835826","7"
"836398","1"
"839697","14"
"840537","57"
"843900","0"
"845623","8"
"847377","3"
"847930","2"
"851538","3"
"855302","9"
"864791","6"
"867171","10"
"875472","41"
"878837","3"
"879321","1"
"882130","0"
"882458","1"
"885804","1"
"887565","1"
"888473","1"
