owneruserid,reputation,userviews,creationdate
"5","48906","13265","2008-07-31 14:22:31"
"43","2775","436","2008-08-01 13:02:27"
"72","30373","1674","2008-08-01 15:09:58"
"164","13991","4943","2008-08-02 20:59:47"
"179","1541","457","2008-08-03 02:38:27"
"184","47289","3729","2008-08-03 05:34:19"
"191","15039","1496","2008-08-03 09:55:26"
"194","28415","2476","2008-08-03 10:56:49"
"267","335232","38829","2008-08-04 10:11:06"
"298","10035","649","2008-08-04 13:29:28"
"327","17310","735","2008-08-04 17:08:49"
"337","43336","1485","2008-08-04 18:11:42"
"366","4124","239","2008-08-05 06:49:49"
"381","13709","730","2008-08-05 10:39:26"
"392","86712","3986","2008-08-05 12:29:07"
"399","3540","264","2008-08-05 13:08:21"
"425","6655","552","2008-08-05 15:31:37"
"470","12209","791","2008-08-06 02:58:55"
"549","24091","1422","2008-08-06 16:20:06"
"576","4576","294","2008-08-06 21:34:52"
"616","1205","230","2008-08-07 11:16:13"
"636","14262","1522","2008-08-07 12:32:33"
"673","3366","329","2008-08-07 16:33:05"
"688","13614","804","2008-08-07 19:56:09"
"722","16133","1402","2008-08-08 11:37:05"
"755","15603","601","2008-08-08 15:28:16"
"781","27002","1602","2008-08-08 21:28:19"
"854","7552","632","2008-08-09 15:23:13"
"905","126332","6212","2008-08-10 09:37:14"
"945","7553","354","2008-08-10 22:06:49"
"1054","1171","96","2008-08-11 22:38:05"
"1074","3207","275","2008-08-12 10:11:09"
"1114","1","22733","2008-08-12 12:54:42"
"1212","3922","484","2008-08-13 13:17:40"
"1219","34720","2122","2008-08-13 13:44:47"
"1265","11760","915","2008-08-14 05:20:45"
"1375","6307","282","2008-08-14 21:41:25"
"1406","8093","1024","2008-08-15 12:26:06"
"1432","25767","1854","2008-08-15 15:33:54"
"1492","7499","1077","2008-08-15 21:46:00"
"1580","3265","417","2008-08-16 20:34:26"
"1583","450237","54202","2008-08-16 20:54:12"
"1599","8007","808","2008-08-17 13:39:55"
"1606","11111","792","2008-08-17 14:03:24"
"1633","4665","491","2008-08-17 17:30:24"
"1738","12221","1451","2008-08-18 11:32:29"
"1768","15732","1427","2008-08-18 13:32:15"
"1769","6972","492","2008-08-18 13:35:40"
"1796","18281","3860","2008-08-18 15:42:29"
"1801","13995","1009","2008-08-18 16:01:48"
"1820","31704","1608","2008-08-18 18:06:03"
"1843","4997","552","2008-08-18 20:49:57"
"1865","21922","458","2008-08-19 00:17:22"
"1897","71348","2866","2008-08-19 07:54:49"
"1942","104669","4898","2008-08-19 14:45:43"
"1965","153969","6800","2008-08-19 15:51:08"
"1996","10332","1191","2008-08-19 18:26:25"
"2238","61865","1493","2008-08-21 05:51:27"
"2374","2379","180","2008-08-21 22:14:30"
"2452","3478","229","2008-08-22 11:19:16"
"2525","50861","7011","2008-08-22 16:18:42"
"2535","19329","1705","2008-08-22 17:36:15"
"2581","5569","472","2008-08-23 04:37:51"
"2610","3673","254","2008-08-23 15:04:15"
"2701","27007","2484","2008-08-24 15:51:24"
"2720","2974","343","2008-08-24 17:15:55"
"2892","20507","823","2008-08-25 19:39:36"
"2915","85247","8978","2008-08-25 23:15:12"
"3048","257","146","2008-08-26 13:36:49"
"3056","10420","537","2008-08-26 13:54:57"
"3139","825","115","2008-08-26 23:51:47"
"3226","11555","1631","2008-08-27 13:44:32"
"3262","6255","223","2008-08-27 15:30:29"
"3291","29417","1249","2008-08-27 17:46:47"
"3401","3965","344","2008-08-28 13:04:02"
"3415","23254","1513","2008-08-28 13:44:19"
"3485","12085","1324","2008-08-28 18:14:08"
"3488","42325","1835","2008-08-28 18:28:18"
"3560","176932","5481","2008-08-29 05:20:51"
"3584","26292","2444","2008-08-29 07:43:26"
"3713","108798","4087","2008-08-30 09:06:27"
"3800","4767","6554","2008-08-30 22:27:15"
"4023","27991","3980","2008-09-01 12:30:39"
"4093","2702","247","2008-09-01 18:31:02"
"4154","4662","417","2008-09-02 05:43:32"
"4222","527","81","2008-09-02 12:29:25"
