id,acceptedanswerid,answer_date
"7551","7618","2008-08-11 08:45:13"
"8451","8486","2008-08-12 05:17:09"
"14656","14681","2008-08-18 14:24:39"
"18290","18344","2008-08-20 16:41:15"
"18448","18484","2008-08-20 18:15:46"
"19721","19736","2008-08-21 12:33:33"
"29677","29692","2008-08-27 07:55:52"
"33086","33100","2008-08-28 18:58:09"
"33288","33295","2008-08-28 20:14:55"
"33529","33541","2008-08-28 22:19:38"
"33829","33838","2008-08-29 02:18:20"
"47526","47543","2008-09-06 15:13:24"
"49663","49679","2008-09-08 13:15:14"
"50037","50081","2008-09-08 16:22:02"
"52256","52265","2008-09-09 16:13:38"
"54889","54907","2008-09-10 18:11:07"
"59926","60104","2008-09-12 22:41:47"
"71077","71099","2008-09-16 10:40:07"
"64208","72028","2008-09-16 13:12:39"
"88311","88341","2008-09-17 22:29:05"
"98768","98786","2008-09-19 01:52:13"
"102425","102545","2008-09-19 14:59:39"
"112396","112409","2008-09-21 22:42:09"
"96945","113291","2008-09-22 05:21:41"
"118599","118613","2008-09-23 01:22:56"
"120131","120146","2008-09-23 09:58:51"
"134148","134164","2008-09-25 15:54:12"
"135600","135924","2008-09-25 20:43:09"
"142573","142592","2008-09-27 00:20:35"
"143692","143700","2008-09-27 14:27:11"
"147747","147759","2008-09-29 06:57:52"
"156563","158238","2008-10-01 15:31:50"
"163900","165154","2008-10-03 00:06:05"
"166023","166891","2008-10-03 13:36:57"
"168303","168341","2008-10-03 18:53:28"
"172951","172971","2008-10-06 01:25:08"
"176338","176384","2008-10-06 22:00:46"
"170689","182722","2008-10-08 13:24:21"
"184028","184189","2008-10-08 18:33:12"
"185210","185225","2008-10-08 22:47:36"
"188043","188112","2008-10-09 16:40:08"
"189925","189961","2008-10-10 02:46:13"
"190198","190226","2008-10-10 05:28:22"
"196776","196905","2008-10-13 07:17:02"
"189623","197916","2008-10-13 15:08:36"
"199459","199519","2008-10-14 00:09:23"
"199613","199694","2008-10-14 01:17:03"
"198625","200260","2008-10-14 07:31:13"
"84847","201277","2008-10-14 14:03:13"
"169334","201758","2008-10-14 15:54:51"
"210296","211135","2008-10-17 05:08:56"
"195454","215100","2008-10-18 14:26:12"
"224453","224524","2008-10-22 04:56:13"
"224541","224546","2008-10-22 05:18:20"
"225496","228254","2008-10-23 01:53:02"
"229571","229737","2008-10-23 13:35:32"
"230845","230986","2008-10-23 18:58:34"
"229624","231068","2008-10-23 19:17:15"
"234589","234735","2008-10-24 18:23:05"
"214850","237778","2008-10-26 09:24:46"
"238404","238454","2008-10-26 19:00:45"
"238728","238769","2008-10-26 23:09:34"
"239463","239471","2008-10-27 10:04:23"
"242749","243145","2008-10-28 12:48:11"
"243957","244240","2008-10-28 18:07:19"
"244882","244907","2008-10-28 21:20:49"
"244903","244919","2008-10-28 21:25:16"
"245569","245586","2008-10-29 02:11:45"
"249567","250241","2008-10-30 13:54:04"
"254610","254711","2008-10-31 19:47:32"
"256899","256911","2008-11-02 14:21:03"
"264702","264739","2008-11-05 10:03:08"
"266188","266984","2008-11-05 22:31:35"
"268682","268731","2008-11-06 13:43:25"
"270625","270661","2008-11-06 22:54:11"
"274274","274282","2008-11-08 03:08:03"
"279682","279703","2008-11-11 00:51:34"
"211169","285377","2008-11-12 21:03:22"
"286750","286854","2008-11-13 12:59:53"
"295163","295396","2008-11-17 11:50:39"
"295538","295703","2008-11-17 14:39:18"
"295345","297792","2008-11-18 03:42:05"
"304495","309245","2008-11-21 16:05:12"
"311243","312001","2008-11-23 01:46:00"
"317967","317992","2008-11-25 16:30:58"
"318475","318522","2008-11-25 19:09:58"
"325323","326323","2008-11-28 17:55:54"
"328023","328028","2008-11-29 21:22:05"
"332284","332317","2008-12-01 21:30:52"
"332794","332931","2008-12-02 03:16:26"
"332697","333064","2008-12-02 04:36:00"
"333532","333543","2008-12-02 10:17:04"
"338579","338588","2008-12-03 20:32:27"
"339004","339075","2008-12-03 23:09:07"
"49211","345696","2008-12-06 01:26:28"
"345217","349761","2008-12-08 14:49:22"
"348128","350297","2008-12-08 17:52:45"
"351873","352263","2008-12-09 09:52:52"
"360694","360717","2008-12-11 20:08:49"
"362461","362594","2008-12-12 12:16:44"
"354644","368740","2008-12-15 15:40:14"
"369248","369477","2008-12-15 19:40:04"
"367870","372403","2008-12-16 19:32:54"
"372465","372482","2008-12-16 19:54:29"
"292993","373650","2008-12-17 04:22:03"
"318781","374357","2008-12-17 12:07:46"
"380895","380929","2008-12-19 13:13:26"
"382383","382468","2008-12-19 22:49:28"
"388800","388858","2008-12-23 13:21:11"
"391066","391148","2008-12-24 10:01:54"
"394836","394958","2008-12-27 12:37:25"
"395592","395843","2008-12-28 04:48:43"
"397612","397615","2008-12-29 12:10:50"
"398463","398493","2008-12-29 19:50:50"
