id,nanswers
"657","8"
"6847","14"
"14350","3"
"14617","16"
"16003","1"
"16861","7"
"19956","1"
"22880","12"
"23988","2"
"24468","4"
"24723","8"
"31865","3"
"32369","34"
"32991","3"
"38779","2"
"40853","4"
"41220","10"
"44391","12"
"45093","5"
"46415","5"
"47323","6"
"49455","3"
"51124","3"
"52239","2"
"52830","4"
"53728","9"
"54200","4"
"55862","5"
"57384","3"
"57800","2"
"59022","14"
"64432","5"
"70450","10"
"71328","20"
"75057","15"
"77686","3"
"80291","2"
"87365","12"
"92561","13"
"93451","7"
"95852","5"
"97765","9"
"99999","6"
"101337","7"
"103203","4"
"108518","9"
"108838","2"
"109293","8"
"111576","27"
"111763","5"
"113526","6"
"117352","6"
"117920","4"
"118463","7"
"120206","3"
"120977","3"
"123159","2"
"134988","3"
"135802","9"
"136837","7"
"138311","2"
"139046","7"
"139053","6"
"139199","18"
"139483","1"
"141399","3"
"143632","3"
"144696","3"
"146520","1"
"147491","2"
"148059","7"
"148068","3"
"154242","1"
"155400","1"
"157938","21"
"162296","1"
"166411","2"
"183656","12"
"184319","2"
"184328","11"
"188114","3"
"188491","15"
"188835","3"
"195717","8"
"196150","4"
"196845","4"
"197268","3"
"197388","7"
"197835","2"
"198071","3"
"198803","3"
"199017","4"
"200545","6"
"201863","4"
"205070","5"
"205153","3"
"205668","2"
"210820","3"
"210832","5"
"211001","6"
"211385","4"
"211941","2"
"212510","12"
"212858","2"
"213380","10"
"215302","5"
"215306","8"
"216324","3"
"223480","4"
"226316","4"
"228138","5"
"232484","2"
"232500","5"
"232990","7"
"235759","2"
"241040","3"
"242648","3"
"246822","6"
"248789","2"
"252180","3"
"254980","2"
"255723","4"
"258721","2"
"259372","1"
"261202","3"
"262145","15"
"263367","7"
"263818","7"
"265305","3"
"267451","2"
"267607","9"
"269713","2"
"270010","1"
"270453","3"
"272112","2"
"273165","2"
"273396","5"
"276132","3"
"276177","2"
"277695","1"
"278273","13"
"279418","3"
"281843","2"
"284796","1"
"290460","1"
"291102","3"
"291744","2"
"292276","1"
"295156","7"
"295910","6"
"296193","3"
"297136","4"
"298535","6"
"299826","3"
"303096","3"
"304616","4"
"304658","3"
"306703","1"
"307448","7"
"309497","3"
"310476","3"
"312254","2"
"315240","2"
"317175","5"
"317788","9"
"319508","5"
"327097","3"
"332833","2"
"333812","4"
"340568","5"
"341585","2"
"342378","5"
"343995","5"
"344314","2"
"344719","6"
"344774","3"
"347056","4"
"347948","16"
"348090","4"
"350588","1"
"350697","5"
"353799","1"
"353968","1"
"354323","2"
"355632","3"
"360348","3"
"360520","11"
"362948","2"
"365158","3"
"367180","1"
"373761","3"
"375524","6"
"380336","5"
"381890","5"
"384489","9"
"386047","5"
"387104","7"
"390908","1"
"402705","5"
"403394","5"
"404806","11"
"409725","2"
"410253","4"
"412184","2"
"413137","7"
"413677","5"
"421458","4"
"422903","6"
"426294","1"
"427598","2"
"430386","7"
"432753","2"
"434776","3"
"437962","5"
"442443","7"
"442995","3"
"443411","3"
"443988","4"
"444698","4"
"448431","2"
