Category,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty,Language
Authentication,6555.0,14614317.0,11241.0,4824.0,9327.0,7.954456125840446,2613.0,1157537.1224999998,11.722519985016906,62.8032922535112,java
Cryptography,4851.0,20694689.0,11126.0,8480.0,11797.0,14.281047815247767,2457.0,676825.0397222221,8.753460515945681,53.44506211452761,java
Data Security,4660.0,16328507.0,17244.0,7360.0,11027.0,14.836928481902024,2518.0,749342.1977777778,13.7410468538838,46.55827202203102,java
Development,17067.0,60686019.0,37610.0,15021.0,32221.0,10.681943396232434,7303.0,3359430.010277778,27.537973373601673,65.81575029071476,java
General,35576.0,99233539.0,71002.0,21439.0,80931.0,9.346629053031709,17796.0,3988098.3280555564,158.14627814366756,36.941443962692716,java
Network Security,2233.0,11851442.0,6286.0,2766.0,3956.0,13.456272849901973,992.0,306694.59472222225,3.6178950882955503,57.57170189127815,java
Secure Coding,210.0,468454.0,451.0,125.0,478.0,8.975859709461714,117.0,18736.01527777778,0.7913728699517927,34.8960686347188,java
Security,35576.0,124643428.0,83958.0,38576.0,68806.0,11.475236023082132,16000.0,6268564.980277779,66.1642686866954,59.50140897008676,java
Authentication,6208.0,10990457.0,5631.0,2756.0,16411.0,6.588737057466235,2744.0,630105.3191666666,23.32021690997211,39.39272767926966,php
Cryptography,1428.0,3315102.0,2067.0,1050.0,3793.0,9.000656155279891,733.0,195004.8866666667,2.611187473454831,52.59493118756856,php
Data Security,2339.0,8522852.0,7212.0,3374.0,8554.0,15.603014981302081,1480.0,214990.7947222222,10.21753987910299,32.15738140757387,php
Development,17977.0,40048599.0,36047.0,17856.0,52203.0,10.65410088743968,9879.0,2272896.168055556,83.6883829477384,36.697759571421344,php
General,32191.0,63683908.0,36676.0,11358.0,80413.0,6.676140714167052,16729.0,3021069.2444444443,218.4728087895754,29.854462607652387,php
Network Security,4239.0,11798355.0,7306.0,2719.0,10772.0,9.403472381601045,2044.0,560239.818888889,15.227145455613307,42.41433548957222,php
Security,32191.0,74675365.0,58263.0,27755.0,91733.0,10.07801007724207,16880.0,3873236.9875000007,135.06447266588162,37.957563128673264,php
Authentication,3495.0,6362667.0,5644.0,1866.0,5859.0,7.162145741000845,1260.0,608734.0791666667,8.794555827678714,57.68950070561935,javascript
Cryptography,1719.0,4116708.0,3660.0,1337.0,3949.0,9.769819627532803,827.0,459231.4816666667,3.4036979251687067,65.45613179439016,javascript
Data Security,436.0,728762.0,209.0,110.0,1090.0,4.741342273403254,168.0,13769.097777777775,1.5793430429291655,28.2836468904167,javascript
Development,13758.0,38065343.0,36996.0,12494.0000001,31908.0000001,11.188351338508388,6694.0,2154547.4541666666,57.6448082943846,42.509743772432195,javascript
General,22624.0,55374385.0,52994.0,18422.0,49890.0,10.072843412724271,12204.0,1866359.7505555556,161.3006543887816,27.784898073209597,javascript
Network Security,2831.0,7952339.0,6135.0,1856.0,6477.0,9.775195704632324,1315.0,422607.32999999996,10.0679998547865,44.87481251631656,javascript
Security,22239.0,57225819.0,52644.0,17663.000000099997,49283.0000001,10.175608066269191,10264.0,3658889.4427777776,81.49040494494768,45.99180710819731,javascript
