id,nanswers
"2970","8"
"5078","12"
"8451","13"
"8472","103"
"17670","4"
"30800","2"
"32333","9"
"32412","4"
"32964","16"
"33104","4"
"38875","10"
"42833","6"
"44799","7"
"50769","21"
"51283","5"
"54096","2"
"54889","3"
"55218","13"
"55296","6"
"58679","3"
"64059","16"
"64469","3"
"65879","7"
"72304","4"
"78599","5"
"86090","6"
"86513","26"
"87371","2"
"90413","6"
"92456","3"
"97984","16"
"104592","21"
"107566","10"
"108088","3"
"109997","25"
"110123","4"
"111248","15"
"115503","2"
"116684","11"
"120189","6"
"121504","3"
"125438","9"
"127363","6"
"127638","4"
"128028","5"
"129677","17"
"133549","2"
"136065","1"
"136798","23"
"137392","4"
"141203","11"
"141428","3"
"141484","7"
"146839","5"
"149848","8"
"150923","2"
"153416","3"
"155220","4"
"155751","4"
"164268","1"
"168946","8"
"170115","2"
"170606","3"
"171237","6"
"173875","14"
"174387","2"
"177804","4"
"178210","2"
"181130","5"
"186106","4"
"187655","8"
"188266","6"
"192268","2"
"192811","1"
"197357","1"
"197621","3"
"201796","3"
"205923","10"
"206276","4"
"206318","8"
"207819","4"
"209927","4"
"210296","3"
"215131","2"
"217547","1"
"220077","3"
"225838","7"
"229624","3"
"231204","3"
"232895","2"
"233217","21"
"234253","2"
"234871","2"
"234872","1"
"239063","3"
"241282","3"
"244283","4"
"253673","7"
"254935","11"
"257015","6"
"258625","4"
"259663","5"
"262023","1"
"262531","1"
"262554","6"
"268182","5"
"272447","4"
"273496","2"
"273534","4"
"273803","3"
"275824","4"
"277881","7"
"281891","2"
"290405","12"
"291941","3"
"295566","9"
"295973","5"
"301557","9"
"301855","1"
"302893","1"
"303149","4"
"304495","1"
"306830","12"
"307047","1"
"308501","3"
"310929","13"
"315171","3"
"316367","7"
"318475","2"
"319634","2"
"320477","2"
"323067","4"
"326699","9"
"330207","16"
"331901","1"
"332365","13"
"338563","2"
"339312","6"
"339603","6"
"340129","1"
"340820","1"
"340984","5"
"341290","5"
"341981","3"
"344280","2"
"349668","10"
"351354","1"
"353609","2"
"354161","5"
"355883","1"
"358772","3"
"365095","2"
"367870","2"
"369981","4"
"371928","1"
"376519","2"
"377901","3"
"381042","7"
"384451","17"
"393580","1"
"394214","2"
"406358","2"
"407771","4"
"409782","1"
"424210","14"
"425221","1"
"426888","4"
"436715","3"
"437061","13"
"438886","10"
"443151","3"
"443487","6"
"449922","3"
"450732","5"
"451288","5"
"453908","5"
"454048","11"
"459614","4"
