postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
12422,https://api.github.com/repos/keras-team/keras/issues/12422,issue,issu gru base autoencod,tri train gru base autoencod infer model decod seem work def defin model n input n output n unit n unit latent dimens defin train encod encod input input shape none n input encod gru n unit return state true encod output state h encod encod input encod state state h defin train decod decod input input shape none n output decod gru gru n unit return sequenc true return state true decod output decod gru decod input initi state state h decod dens dens n output activ softmax decod output decod dens decod output model model encod input decod input decod output defin infer encod encod model model encod input encod state defin infer decod decod state input h input shape n unit decod state input decod state input h decod output state h decod gru decod input initi state decod state input decod state state h decod output decod dens decod output decod model model decod input decod state input decod output decod state return model return model encod model decod model,,2,46,encode|decode,179,0.2569832402234637,0.8767048716545105
13933,https://api.github.com/repos/pingcap/tidb/issues/13933,issue,outer hash join lead incorrect result,bug report pleas answer question submit issu thank possibl provid recip reproduc error tabl int autoinct int autoinccol binarycol charcol mediumint unsign nullcol text nullcol decim unsign nullcol integ nullcol binari nullcol tinyint nullcol smallintcol boolean nullcol textcol tinytext nullcol float nullcol booleancol int nullpkcol doubl nullcol bigint unsignedcol int unsign nullcol doublecol varbinari col mediumtextcol longtextcol decimalcol integercol integ unsignedcol smallint unsignedcol varchar nullcol longtext nullcol float unsign nullcol tinyint unsign nullcol tinytextcol tinyintcol tinyint unsignedcol mediumint unsignedcol mediumtext nullcol decim nullcol int unsignedcol bigint nullcol doubl unsignedcol smallint unsign nullcol floatcol varbinari nullcol mediumintcol integ unsign nullcol float unsignedcol bigint unsign nullcol smallint nullcol varchar col intcol doubl unsign nullcol mediumint nullcol decim unsignedcol char nullcol bigintpkt int autoinct int autoinct int autoinccol longtext nullcol mediumint nullcol int unsignedcol bigint unsignedcol doubl nullcol decimalcol decim nullcol binari nullcol bigint unsign nullcol bigint nullcol doubl unsignedcol smallint unsign nullcol integ unsignedcol tinyint nullcol varbinari nullcol doublecol int nullcol mediumint unsign nullcol binarycol boolean nullcol mediumintcol charcol integ nullcol text nullcol tinyint unsign nullcol float unsign nullcol intcol doubl unsign nullcol booleanpkcol floatcol tinyintcol smallint unsignedcol decim unsign nullcol mediumtextcol integ unsign nullcol varchar col decim unsignedcol int unsign nullcol smallintcol textcol tinyint unsignedcol bigintcol tinytext nullcol float nullcol varbinari col mediumint unsignedcol mediumtext nullcol char nullcol float unsignedcol longtextcol varchar nullcol smallint nullcol tinytextcol integerpkt int autoinct col smallint nullt col bigint unsign nullt col longtextt col doubl unsignedt int autoinct tabl int autoinct col intt col intt col smallint nullt col bigint unsign nullt col longtextt col doubl unsignedt int autoinct tabl int autoinct col intt col int tidb server vselect tidb version tidb master ea,,2,41,hash|signing,285,0.14385964912280702,0.796790361404419
25274,https://api.github.com/repos/microsoft/TypeScript/issues/25274,issue,gener return type function signatur incorrectli infer instead void,typescript version search term even know describ issu briefli search code expect behavior compil error actual behavior compil error argument type p onbar assign paramet type arg string null undefin type valu string void undefin assign type arg string null undefin type valu string void assign type arg string null undefin type valu string void assign type arg string type void assign type type p onbar assign type arg string type valu string void undefin assign type arg string type undefin assign type arg string seem narrow particular combin return type function playground link sever variat work fine note error happen strictnullcheck enabl playground link enabl issu,,3,10,signing|signature|scripting,117,0.08547008547008547,0.7583867907524109
10270,https://api.github.com/repos/influxdata/influxdb/issues/10270,issue,floatbatchdecodeal return eof decod empti buffer encod floatencod,old behavior creat write float valu encod byte iter base float decod return fals call error updat return empti slice error pass encod buffer,,2,7,decode|encode,33,0.21212121212121213,0.7455174326896667
210,https://api.github.com/repos/google/ExoPlayer/issues/210,issue,aac decod return error discontinu detect,hi tri play one video video stuck video forward fast second log help u find issu w softaac aac decod return error substitut silenc dalvikvm gc alloc freed k free k k paus ms total ms w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got eventlogg droppedfram w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc eventlogg droppedfram w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc eventlogg droppedfram e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc dalvikvm gc alloc freed k free k k paus ms total ms w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got eventlogg droppedfram e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got eventlogg droppedfram e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc dalvikvm gc alloc freed k free k k paus ms total ms e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc eventlogg droppedfram w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc eventlogg droppedfram w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc dalvikvm gc alloc freed k free k k paus ms total ms w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got eventlogg droppedfram e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got e audiotrack discontinu detect expect got w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc w softaac aac decod return error substitut silenc e audiotrack discontinu detect expect got,audio decod claim audio track invalid pleas file kind issu without test stream reproduc problem sinc noth debug problem,2,187,decode|validate,2310,0.08095238095238096,0.7394945025444031
24300,https://api.github.com/repos/microsoft/TypeScript/issues/24300,issue,intersect type properti exclud index signatur,typescript version search term intersect type index code expect behavior error abl assign actual behavior error ts type anystr string exclud number assign type combin type anystr string exclud number assign type index properti exclud incompat index signatur type number assign type string playground link issu,behavior intersect type duplic,3,7,signing|signature|scripting,57,0.12280701754385964,0.7364789247512817
18537,https://api.github.com/repos/nodejs/node/issues/18537,pr,string decod reimplement c,implement string decod c perk decent speed boost decod wherea creation show perform degrad use easili add nativ decod support c stream arguabl readabl variabl name benchmark result node benchmark compar js new node old node n e string decod rscript benchmark compar r file run config done confid improv accuraci string decod string decod creat js n encod ascii string decod string decod creat js n encod ascii string decod string decod creat js n encod base string decod string decod creat js n encod ucs string decod string decod creat js n encod utf le string decod string decod creat js n encod utf string decod string decod creat js n encod utf string decod string decod creat js n encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf string decod string decod js n chunklen inlen encod ascii string decod string decod js n chunklen inlen encod base ascii string decod string decod js n chunklen inlen encod base utf string decod string decod js n chunklen inlen encod utf le string decod string decod js n chunklen inlen encod utf thank pull request pleas provid descript review requir bug fix new featur includ test possibl benchmark contributor guid checklist x unix window pass x test benchmark includ x commit messag follow commit affect core subsystem string decod ci,okay appli everyth ci land af b f eb b f fde b aa ae tada hmm fun experi try implement webassembl long decod encod string js wasm primit call nativ code realli go faster think main speedup reduc js c boundari call appear broke citgm confirm local revert commit run success test suit time look backport yes pleas follow rais backport pr let know add label,3,274,decode|scripting|encode,1082,0.2532347504621072,0.7137356400489807
39278,https://api.github.com/repos/microsoft/TypeScript/issues/39278,issue,index signatur incorrectli includ undefin comput properti name spread present,typescript version beta search term index signatur spread undefin comput code expect behavior error actual behavior error playground link issu,,2,3,signature|scripting,31,0.0967741935483871,0.669502854347229
15315,https://api.github.com/repos/microsoft/TypeScript/issues/15315,issue,error combin array type error cannot invok express whose type lack call signatur,typescript version code expect behavior without error actual behavior error text error ts cannot invok express whose type lack call signatur type string string string string string callbackfn valu string index number compat call signatur,duplic issu seem alreadi address unaction moment auto close,2,4,signature|scripting,58,0.06896551724137931,0.6684567332267761
5616,https://api.github.com/repos/microsoft/TypeScript/issues/5616,issue,compil without error return type signatur variabl match gener function assign,compil code output follow javascript put type signatur variabl return type instead expect correct expect typescript compil show error return type match howev code compil without error spec mac os x output,technic duplic want discuss understand,3,5,signing|signature|scripting,49,0.10204081632653061,0.6680783033370972
