postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
9742,https://api.github.com/repos/electron/electron/issues/9742,issue,build electron share node openssl,build electron share openssl linux add common gypi vendor node node gyp build success cipher array aes gcm sha aes sha aes sha aes gcm sha aes sha aes sha des cbc sha dhe rsa aes gcm sha dhe rsa aes sha dhe rsa aes sha dhe rsa aes gcm sha dhe rsa aes sha dhe rsa aes sha ecdh ecdsa aes gcm sha ecdh ecdsa aes sha ecdh ecdsa aes sha ecdh ecdsa aes gcm sha ecdh ecdsa aes sha ecdh ecdsa aes sha ecdh ecdsa chacha poli ecdh psk aes cbc sha ecdh psk aes cbc sha ecdh psk chacha poli ecdh rsa aes gcm sha ecdh rsa aes sha ecdh rsa aes sha ecdh rsa aes gcm sha ecdh rsa aes sha ecdh rsa aes sha ecdh rsa chacha poli psk aes cbc sha psk aes cbc sha boringssl static build openssl cipher cannot load openssl engin initcryptoonc fprintf err error error invalid librari openssl intern invalid librari build electron share node share openssl need support openssl dynam engin,,9,98,sha|openssl|cipher|aes|cbc|rsa|ecdsa|crypt|validate,178,0.550561797752809,0.7868635058403015
2514,https://api.github.com/repos/drone/drone/issues/2514,issue,make tls version support cipher configur,tls deprec variou parti due vulner background see still use version suggest ideal tls version support cipher configur openssl et al configur nice big long confus string,document similar request receiv via chat fedramp compliant cipher ssl lab tls ecdh ecdsa aes gcm sha tls ecdh ecdsa aes gcm sha tls ecdh ecdsa aes cbc sha tls ecdh ecdsa aes cbc sha tls ecdh ecdsa aes cbc sha tls ecdh ecdsa aes cbc sha tls ecdh rsa aes gcm sha tls ecdh rsa aes gcm sha tls ecdh rsa aes cbc sha tls ecdh rsa aes cbc sha tls ecdh rsa aes cbc sha tls ecdh rsa aes cbc sha tls dhe rsa aes gcm sha tls dhe rsa aes gcm sha tls dhe rsa aes cbc sha tls dhe rsa aes cbc sha tls dhe rsa aes cbc sha tls dhe rsa aes cbc sha,10,93,tls|cipher|vulnerability|openssl|ssl|ecdsa|aes|sha|cbc|rsa,153,0.6078431372549019,0.7042507529258728
5210,https://api.github.com/repos/hashicorp/vault/issues/5210,issue,bit aes encrypt,gener bit encrypt key encrypt decrypt use vault support encrypt,vault support bit encrypt key list key type vault support,3,7,aes|encrypt|crypt,24,0.2916666666666667,0.6741201281547546
386,https://api.github.com/repos/looly/hutool/issues/386,issue,aes aes new aes mode cbc pad nopad new secretkeyspec encodekey getbyt key algorithm new ivparameterspec encodekey getbyt,pad cryptoj pad zeropad zeropad,new,4,7,aes|cbc|encode|crypt,25,0.28,0.669903039932251
3096,https://api.github.com/repos/bitcoin/bitcoin/issues/3096,issue,updat default ciphersuit string rpcsslcipher,think upgrad default includ tlsv ciphersuit perhap remov support sslv think test remov switch document openssl org lead chang list support ciphersuit output openssl e win x ecdh rsa aes gcm sha tlsv kx ecdh au rsa enc aesgcm mac aead ecdh ecdsa aes gcm sha tlsv kx ecdh au ecdsa enc aesgcm mac aead ecdh rsa aes sha tlsv kx ecdh au rsa enc aes mac sha ecdh ecdsa aes sha tlsv kx ecdh au ecdsa enc aes mac sha dhe dss aes gcm sha tlsv kx dh au dss enc aesgcm mac aead dhe rsa aes gcm sha tlsv kx dh au rsa enc aesgcm mac aead dhe rsa aes sha tlsv kx dh au rsa enc aes mac sha dhe dss aes sha tlsv kx dh au dss enc aes mac sha ecdh rsa aes gcm sha tlsv kx ecdh rsa au ecdh enc aesgcm mac aead ecdh ecdsa aes gcm sha tlsv kx ecdh ecdsa au ecdh enc aesgcm mac aead ecdh rsa aes sha tlsv kx ecdh rsa au ecdh enc aes mac sha ecdh ecdsa aes sha tlsv kx ecdh ecdsa au ecdh enc aes mac sha aes gcm sha tlsv kx rsa au rsa enc aesgcm mac aead aes sha tlsv kx rsa au rsa enc aes mac sha ecdh rsa aes sha sslv kx ecdh au rsa enc aes mac sha ecdh ecdsa aes sha sslv kx ecdh au ecdsa enc aes mac sha srp dss aes cbc sha sslv kx srp au dss enc aes mac sha srp rsa aes cbc sha sslv kx srp au rsa enc aes mac sha dhe rsa aes sha sslv kx dh au rsa enc aes mac sha dhe dss aes sha sslv kx dh au dss enc aes mac sha dhe rsa camellia sha sslv kx dh au rsa enc camellia mac sha dhe dss camellia sha sslv kx dh au dss enc camellia mac sha ecdh rsa aes sha sslv kx ecdh rsa au ecdh enc aes mac sha ecdh ecdsa aes sha sslv kx ecdh ecdsa au ecdh enc aes mac sha aes sha sslv kx rsa au rsa enc aes mac sha camellia sha sslv kx rsa au rsa enc camellia mac sha psk aes cbc sha sslv kx psk au psk enc aes mac sha ecdh rsa aes gcm sha tlsv kx ecdh au rsa enc aesgcm mac aead ecdh ecdsa aes gcm sha tlsv kx ecdh au ecdsa enc aesgcm mac aead ecdh rsa aes sha tlsv kx ecdh au rsa enc aes mac sha ecdh ecdsa aes sha tlsv kx ecdh au ecdsa enc aes mac sha dhe dss aes gcm sha tlsv kx dh au dss enc aesgcm mac aead dhe rsa aes gcm sha tlsv kx dh au rsa enc aesgcm mac aead dhe rsa aes sha tlsv kx dh au rsa enc aes mac sha dhe dss aes sha tlsv kx dh au dss enc aes mac sha ecdh rsa aes gcm sha tlsv kx ecdh rsa au ecdh enc aesgcm mac aead ecdh ecdsa aes gcm sha tlsv kx ecdh ecdsa au ecdh enc aesgcm mac aead ecdh rsa aes sha tlsv kx ecdh rsa au ecdh enc aes mac sha ecdh ecdsa aes sha tlsv kx ecdh ecdsa au ecdh enc aes mac sha aes gcm sha tlsv kx rsa au rsa enc aesgcm mac aead aes sha tlsv kx rsa au rsa enc aes mac sha ecdh rsa aes sha sslv kx ecdh au rsa enc aes mac sha ecdh ecdsa aes sha sslv kx ecdh au ecdsa enc aes mac sha srp dss aes cbc sha sslv kx srp au dss enc aes mac sha srp rsa aes cbc sha sslv kx srp au rsa enc aes mac sha dhe rsa aes sha sslv kx dh au rsa enc aes mac sha dhe dss aes sha sslv kx dh au dss enc aes mac sha dhe rsa camellia sha sslv kx dh au rsa enc camellia mac sha dhe dss camellia sha sslv kx dh au dss enc camellia mac sha ecdh rsa aes sha sslv kx ecdh rsa au ecdh enc aes mac sha ecdh ecdsa aes sha sslv kx ecdh ecdsa au ecdh enc aes mac sha aes sha sslv kx rsa au rsa enc aes mac sha camellia sha sslv kx rsa au rsa enc camellia mac sha psk aes cbc sha sslv kx psk au psk enc aes mac sha ecdh rsa aes sha sslv kx ecdh au rsa enc aes mac sha ecdh ecdsa aes sha sslv kx ecdh au ecdsa enc aes mac sha srp dss aes cbc sha sslv kx srp au dss enc aes mac sha srp rsa aes cbc sha sslv kx srp au rsa enc aes mac sha dhe rsa aes sha sslv kx dh au rsa enc aes mac sha dhe dss aes sha sslv kx dh au dss enc aes mac sha dhe rsa camellia sha sslv kx dh au rsa enc camellia mac sha dhe dss camellia sha sslv kx dh au dss enc camellia mac sha ecdh rsa aes sha sslv kx ecdh rsa au ecdh enc aes mac sha ecdh ecdsa aes sha sslv kx ecdh ecdsa au ecdh enc aes mac sha aes sha sslv kx rsa au rsa enc aes mac sha camellia sha sslv kx rsa au rsa enc camellia mac sha psk aes cbc sha sslv kx psk au psk enc aes mac sha ecdh rsa aes sha sslv kx ecdh au rsa enc aes mac sha ecdh ecdsa aes sha sslv kx ecdh au ecdsa enc aes mac sha srp dss aes cbc sha sslv kx srp au dss enc aes mac sha srp rsa aes cbc sha sslv kx srp au rsa enc aes mac sha dhe rsa aes sha sslv kx dh au rsa enc aes mac sha dhe dss aes sha sslv kx dh au dss enc aes mac sha dhe rsa camellia sha sslv kx dh au rsa enc camellia mac sha dhe dss camellia sha sslv kx dh au dss enc camellia mac sha ecdh rsa aes sha sslv kx ecdh rsa au ecdh enc aes mac sha ecdh ecdsa aes sha sslv kx ecdh ecdsa au ecdh enc aes mac sha aes sha sslv kx rsa au rsa enc aes mac sha camellia sha sslv kx rsa au rsa enc camellia mac sha psk aes cbc sha sslv kx psk au psk enc aes mac sha,,7,420,cipher|openssl|rsa|aes|sha|ecdsa|cbc,1087,0.38638454461821525,0.6624192595481873
32021,https://api.github.com/repos/elastic/elasticsearch/issues/32021,issue,pemutil handl pkc v encrypt privat key pkc format,store encrypt privat key format number pkc v pkc v pkc use gener encrypt key provid passphras turn java support pkc issu bug open three year manifest bug pkc format privat key encrypt key deriv use one pkc v cipher pemutil fail pars key follow except exampl gener key fail pars v select algorithm aes pkc v pkc algorithm copi openssl manpag option includ,ping,5,10,encrypt|private key|cipher|aes|openssl,75,0.13333333333333333,0.6606780290603638
1231,https://api.github.com/repos/astaxie/beego/issues/1231,pr,beego http tls config support,tlscipher tls ecdh rsa aes gcm sha ecdh ecdsa aes gcm sha ecdh rsa aes cbc sha ecdh rsa aes cbc sha ecdh ecdsa aes cbc sha ecdh ecdsa aes cbc sha rsa aes cbc sha rsa aes cbc sha ecdh rsa des ede cbc sha rsa des ede cbc sha tlsminvers ssl tls tls ssl tls sslv tls tls tls tlsmaxvers ssl tls tls tlspreferserverciph true webserv key crt beego run httpscertfil httpskeyfil beego appconfig httpscertcont val beego appconfig httpskeycont val httpcertfil httpscertfil httpkeyfil httpskeyfil httpscertfil home domain crt httpskeyfil home domain key tlscipher ecdh rsa aes gcm sha ecdh ecdsa aes gcm sha ecdh rsa aes cbc sha ecdh rsa aes cbc sha ecdh ecdsa aes cbc sha ecdh ecdsa aes cbc sha rsa aes cbc sha rsa aes cbc sha ecdh rsa des ede cbc sha rsa des ede cbc sha tlsminvers tls tlsmaxvers tls tlspreferserverciph true beego run tlsconfigserv tsl tls config app server listenandservetl listenandservetl tls config grace srv listenandservetl listenandservetl tls config tls tls go,,8,104,tls|cipher|rsa|aes|sha|ecdsa|cbc|ssl,177,0.5875706214689266,0.6527504920959473
51,https://api.github.com/repos/Alvin9999/new-pac/issues/51,issue,goa aes,goagent aes cbc sha aes cbc sha,ssl goproxi goagent ssl aes cbc sha goa goa aes cbc sha,4,15,aes|cbc|sha|ssl,22,0.6818181818181818,0.6326881051063538
2522,https://api.github.com/repos/rclone/rclone/issues/2522,issue,request control cipher suit,small discuss cipher rclone support nice abl customis cipher list disabl cipher consid weak one des even cipher without forward secreci control cipher order steer server prefer select strong one cheer onno,check version onno download rclone v g b f beta osx amd rclone version rclone v g b f beta os arch darwin amd go version go wireshark list client hello cipher list cipher suit suit cipher suit tls ecdh rsa aes gcm sha xc f cipher suit tls ecdh rsa aes gcm sha xc cipher suit tls ecdh ecdsa aes gcm sha xc b cipher suit tls ecdh ecdsa aes gcm sha xc c cipher suit tls ecdh rsa chacha poli sha xcca cipher suit tls ecdh ecdsa chacha poli sha xcca cipher suit tls ecdh rsa aes cbc sha xc cipher suit tls ecdh ecdsa aes cbc sha xc cipher suit tls ecdh rsa aes cbc sha xc cipher suit tls ecdh ecdsa aes cbc sha xc cipher suit tls rsa aes gcm sha x c cipher suit tls rsa aes gcm sha x cipher suit tls rsa aes cbc sha x f cipher suit tls rsa aes cbc sha x cipher suit tls ecdh rsa des ede cbc sha xc cipher suit tls rsa des ede cbc sha x clariti client cipher rather server cipher yes possibl configur reason easili work,7,95,cipher|sha|tls|rsa|aes|ecdsa|cbc,231,0.41125541125541126,0.6291251182556152
50068,https://api.github.com/repos/cockroachdb/cockroach/issues/50068,pr,backupccl prototyp use aws kms encrypt backup,rough prototyp key gener aws kms rather passphras encrypt backup custom master key gener everi new backup e backup cannot infer encrypt key previou backup cmk turn use gener plaintext encrypt version data key store encrypt version similar store salt current plaintext version use encrypt backup relat data subsequ increment backup restor decrypt store data key encrypt decrypt backup relat data cmk plaintext data key never store send plaintext data key part exportrequest,chang,3,10,encrypt|crypt|salt,82,0.12195121951219512,0.6214811205863953
