answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
,2014-01-19 01:12:32.377 UTC,127,21212019,"c++ applic creat tcp connect remot server.i need full control connect creat connect receiv data send data howev remot server expect ssl encrypt open ssl librari encrypt decrypt data stream direct go come applic handl whole communication? app remot server app data -> [encrypt openssl] -> encrypt data -> app send data remot server remot server app remot server -> app receiv encrypt data -> [decrypt openssl] -> text messag app need within squar bracket done open ssl librari rest handl code provid privat key public key open ssl librari pleas note cannot bio_read bio_writ function open ssl lib provid encrypt data code send server vice versa know case applic server remot client connect ssl certif thanks,wishwa",0.1968503937007874,25,c++ cryptography encryption ssl,open ssl lib encrypt/decrypt connect data,7,crypt|encrypt|ssl|openssl|private key|public key|certificate,0.992017388343811
control proxi chang authent modul use proxi authent server b take care secur problem make sure x b authent mutual-authent ssl sign messag kind authent use wide isp protocol normal radiu http://en.wikipedia.org/wiki/radiu proxi server built-in auth modul radiu deleg sourc avail relay data pass arbitrari port local machin arbitrari host:port see tcprelay command doc look describ sock mentalis.org implement proxysocket c# proxi server ssh tunnel variou third parti product recommend reimplement,2009-12-08 22:42:51.38 UTC,120,1870415,suppos client connect though tcp/ip socket server bis possibl creat proxi server thing client connect proxi x tri authent server send authent data proxi x receiv data send server b get respons server b return result client possible? sourc code avail,0.13333333333333333,16,c# c++ proxy reverse-proxy sniffer,socket proxi server,9,snif|authentication|availability|security|ssl|signing|delegation|ssh|tunnelling,0.9911112189292908
,2019-12-19 10:40:57,34,59407994,ssl/tl cipher suit e.g use client e.g construct c++? know environ variabl programmat cipher suit without modifi environ i.e without use similar,0.20588235294117646,7,c++ encryption grpc ssl,tls cipher suit grpc server client programmat c+,4,encrypt|ssl|tls|cipher,0.9714741110801697
ssl tls requir reliabl transport protocol cannot run udp look dtl depend librari wikipedia list sever option,2011-10-16 20:48:02.187 UTC,43,7787212,make peer-to-p udp protocol want add encrypt basic want client exchang public encrypt key librari gener key encrypt,0.23255813953488372,10,c++ encryption networking,ssl tls encrypt custom protocol,4,encrypt|ssl|tls|transport,0.9135034680366516
/ class implement tls protocol oper specif handl cryptograph oper howev know anyth transport layer read / write socket part implement typic implement connect establish call data want send server client intern build tls record invok callback send transport layer write socket server side listen socket read tls record pass server intern extract actual data tls record give via callback detail found botan api document regard question sure part code mean usag find botan tls modul client key exchang key exchang involv encrypt block cipher use transmit data happen e.g call client/serv construct tls record encrypt handl intern pass tls record transport layer exampl implement botan includ exampl implement basic tls client/serv tls_server tls_client test via botan command line interfac gener ca cert gener server cert start tls server like requir privileg user start tls client point interest exampl code creat creat use restrict e.g tls version cipher mode use link client get data read stdin construct tls record intern pass callback defin write tls record socket tls record read socket pass server server intern extract data tls record pass,2019-08-18 05:59:36.257 UTC,264,57542040,use order secur channel client server order encrypt-decrypt data use includ header botan librari question object encrypt algorithm negoti two side cipher suit server_hello_messag public key random number gener optim encrypt pad algorithm input mention algorithm taken key obviou truebi algorithm mean bulk encrypt algorithm tls channel secured? discov sourc code function go send data secur channel! even client server negoti exchang asymmetr key earlier data encrypt use symmetr key agre side,0.1553030303030303,41,botan c++ network-programming ssl,encrypt data use botan librari specif cipher suit,9,ssl|encrypt|crypt|cipher|security|public key|tls|transport|privilege,0.9086573123931885
,2015-05-15 23:46:29.243 UTC,77,30270297,look librari code snippet gener advic decrypt http traffic browser client point view access server full access client know firefox exampl support nss drop ssl key file exploit libpcap api decrypt http traffic ? seem fairli common question thought ask mayb alreadi address reinvent wheel edit:so order word code snippet code architectur help decrypt http traffic tcp packet given browser master key someth similar wireshark alreadi describ https://security.stackexchange.com/questions/35639/decrypting-tls-in-wireshark-when-using-dhe-rsa-ciphersuit thank,0.16883116883116883,13,c c++ https libpcap ssl,decrypt http libpcap,8,ssl|crypt|nss|exploit|security|tls|rsa|cipher,0.8882856965065002
uuid known server normal call token use scenario howev never done unencrypted.what need make sure follow extern parti one 2 member commun abl read token client connect anyth server typic accomplish use tls make http secur suggest research token-bas authentication/author tls/ssl one last advic implement encrypt code well use librari result lot test good mainten secur scheme suscept top head replay attack man-in-the-middl attack eavesdrop subsequ imperson . socket actual physic pipe tunnel socket agreement data mark certain sourc destin port pair number treat belong particular logic data channel determin handshak trust verif specif ask whether man-in-the-middl attack exist yes yes requir passphras given packet fix problem? trivial intercept replay give man middl passphras peopl encrypt clever secur scheme concern messag authent integr need basic ground commun secur principl provid one scope answer,2015-09-29 10:29:26.58 UTC,195,32841622,c++ app connect nodej server tcp socket.on socket handshak client authent uuid known server server associ account recognis uuid tcp socket open app send request server answer socket necessari add passphras everi request sure request come client? socket suppos place remain place? sure client client open socket? everi time request made,0.11794871794871795,23,c++ node.js sockets ssl tcp,tcp socket secur alway check user,11,ssl|security|authentication|encrypt|tls|authorise|attack|eavesdropping|tunnelling|trust|integrity,0.8821738958358765
https://www.openssl.org/ much want socket commun,2015-01-31 02:20:24.773 UTC,31,28247487,develop instant messag server c/c++ want improv secur chang socket encod secur commun pleas advic guid best regardswarradorn,0.1935483870967742,6,c c++ security sockets,improv secur connect socket,3,security|encode|openssl,0.8776884078979492
sinc api abl build qt sqlite driver sqlcipher without modif caveat librari header file name avail initi crypto paramet manual sqlcipher pragma direct access data http://sqlcipher.net/sqlcipher-api/ linux cannot want modifi system modifi configur script sqlite case find sqlcipher header link correct libsqlciph librari exampl chang allow build sqlite plugin sqlcipher instead need configur -system-sqlit,2014-03-15 11:38:41.207 UTC,94,22423280,want encrypt sqlite databas qt possibl connect databas sqlcipher encrypt decrypt database? instanc regularli connect sqlite databas file want know possibl sqlcipher api decrypt databas qt databas modul connect manipul databas,0.18085106382978725,17,c++ database qt sqlcipher sqlite,possibl qsqldatabas along sqlcipher,5,cipher|encrypt|crypt|availability|scripting,0.8760226368904114
think misunderstood ssh tunnel ssh tunnel noth client socket server socket map e.g firewal network port show work use person web server connect mysql server allow extern connect connect localhost setup ssh tunnel use libssh2 follow code http://api.libssh.org/master/libssh_tutor_forwarding.html head direct port forward libssh want expos map port client machin necessarili manual send data channel read howev form encrypt text encod match channel mysql send invalid data ssh tunnel creat standard network connect port tunnel talk servic wish c++ mysql c++ connector tunnel creat connect use c++ connector wish allow applic talk mysql though ssh channel without expos network port probabl gonna mess sourc code c++ mysql connector lot work think go though entir connector write read via network socket replac code go though ssh tunnel channel final manag figur lot trial error hair pull manag use exampl https://www.libssh2.org/examples/direct_tcpip.html set variabl wrong valu basic exampl remote_destport exampl 22 thought ssh connect detail ssh set turn connect get forward ssh session chang run app laptop connect ssh server web server laptop run command connect databas webserv ssh tunnel,2016-12-15 18:17:53.633 UTC,269,41170816,develop test app understand ssh tunnel connect mysql databas c++ use libssh2 librari use exampl https://www.libssh2.org/examples/direct_tcpip.html 100% sure whether correct thing pretti much copi exampl connect mysql socket mysql throw errro 2013 hy000 lost connect mysql server read commun packet system error 0 connect mysql use mysql -uroot -p -p2222 app read data channel use follow buf contain written forward socket follow soon send done instantli mysql error assum send ssh-2.0- mysql mysql expect close connect see wrong find certain whether libssh2 direct_tcpip correct thing,0.137546468401487,37,c++ mysql sockets ssh,ssh tunnel mysql c,6,ssh|tunnelling|firewall|encrypt|encode|validate,0.863234281539917
