answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
,2014-02-23 22:49:00.437 UTC,74,21975741,appli simpl vigener cypher input file code encrypt singl char howev modulo behav oddli letter 0 ascii char 48 key chunki peanut butter 9th char use encrypt char ascii 97 one expect 48 + 97%128 = 17 howev result return -52 someon pleas explain correct must done obtain expect valu ? seem odd compil came conclus remaind divis 2 posit integ neg thank advanc nice day,0.05405405405405406,4,c++ cryptography modulo vigenere,odd behavior modulo string,3,crypt|cipher|encrypt,0.6907542943954468
thank code work replac length base64 string actual retlength back actual size well full work code cocos2d-x 3.4,2015-03-19 10:19:31.077 UTC,101,29141929,secur data try encrypt xxtea inputstr -> xxtea encrypt -> outputstr outputstr -> xxtea decrypt -> inputstr everyth encrypt decrypt ok try make base64 encod output xxtea encrypt base64 decod xxtea decrypt result wrong input -> xxtea encrypt -> base64 encod -> output output -> base64 decod -> xxtea decrypt != input test http://www.tools4noobs.com/online_tools/xxtea_encrypt/ http://www.tools4noobs.com/online_tools/xxtea_decrypt/ exampl input string final result test code see final result } } know wrong code? help appreciated!thank much,0.1782178217821782,18,base64 c++ cocos2d-x xxtea,base64 encod xxtea encrypt string error,5,encode|encrypt|crypt|security|decode,0.5657653212547302
gracchu enjoy! effici solut base64 decod use boost c++ librari base64 decod function use boost c++ librari found attempt decod valu base64 char,2014-02-18 20:00:29.187 UTC,53,21864074,use ed25519-donna digit sign key signatur found base64 encod decod found tri mani techniqu still unsur convert base64 decod convert,0.18867924528301888,10,base64 c++ ed25519-donna type-conversion,convert base64 decod string unsign char[32,4,decode|signing|signature|encode,0.5470913648605347
presum allow machin sign-magnitud represent violat principl least surpris sign map unsign sign map probabl larg number given solut exist assum standard bodi decid support unintuit map probabl unsigned->signed->unsign use sequenc pointer->integer->point issu basic n-bit unsign represent n-bit sign type exampl 8-bit unsign maximum valu 256 necessarili 8-bit sign valu valu greater 128 note reguardless hardwar implement represent requir bit sign unless misunderstand question put sign type unsign type vice versa go back run fit comment know cast arbitrari bit sequenc floating-point trap represent rule say trap represent sign integr types? unsign type rang defin represent need valid valu sign represent includ equival class coerc valu class canon represent thu break roundtrip relev rule standard sectin 4.7 destin type unsign result valu least unsign integ congruent sourc integ modulo 2 n n number bit use repres unsign type [ note two’ complement represent convers conceptu chang bit pattern truncat — end note ] destin type sign valu unchang repres destin type bit-field width otherwis valu implementation-defin mean use pointer refer rather valu deal strict-alias rule find case expressli allow point memcpi safe valu b still implement defin sinc c++ requir two complement represent convert back give origin valu bo persson point int64_t two complement therefor memcpi result sign valu simpl integr convers back unsign type well defin origin unsign valu implement signed_cast make convers easi take advantag two complement thing sinc limit intn_t type,2012-02-27 15:22:54.853 UTC,399,9467475,fear miss someth trivial appear actual safe convert to/from sign type wish retain origin unsign valu reinterpret_cast 5.2.10 list integ integ convers thu defin static_cast defin addit convers integr convers 4.7.3 basic say convers larg unsign implement defin thu portabl seem limit sinc know exampl hardwar safe convert back without chang valu plu rule standard layout type actual guarante safe convers two type instead assign correct? legitim reason one cannot integr type suffici size? clarif definit sign version unsign guarante valu round-trip consid unsign => sign => unsign updat look close answer cross-check standard believ actual guarante work nowher state two type layout compat neither char type updat dig c-standard memcpi work sizeof target larg enough copi byte answer appear technic reason reinterpret_cast allow perform convers fix size integ type guarante work inde long intermedi repres bit-pattern intermedi type use float danger trap pattern gener memcpi standard layout type must compat char type int special sinc addit guarante,0.11779448621553884,47,c++ c++11 language-lawyer,compliant convert signed/unsign size,6,signing|safe|integrity|danger|violate|validate,0.5469657778739929
,2015-05-09 17:44:07.263 UTC,60,30143148,text represent encrypt buffer via gcrypt follow convert text string uint_8 valu array via function data_from_str function follow data_from_str function use bluez encod charact string sent connect devic produc encod uinit_8 valu array follow 0000000a0000ec0d0000000004fa304fe9e91bed21e3c5898796056ce4e590e12bc74d0219a185d2e0b9b49a7393f023415f3e1ffd22d5b0a134e03f84d5c5df7c5326c51971cfb783a26f16360000000e00411c41fc2ecb6f6f482050c005b30f75e134fd8aea1e45f687a9e995ccffb14ddd8ea41462e41caeba2aa21ca8f70c67ff4aa6620e64baba23cca0088f2922560d00000000 look mean restor encod uinit_8 valu array back origin text represent anyon notion perform task,0.11666666666666667,7,arrays bluez c++ decoding,decod array unit8_t array char array,4,decode|encrypt|crypt|encode,0.5378656387329102
,2017-11-12 09:07:10.727 UTC,74,47247118,attempt play around wincrypt api seem figur output cryptencrypt match output languag go wincrypt code go code key password output b7 90 54 62 23 1e e3 c1 13 3d cf key md5 hash password 5f4dcc3b5aa765d61d8327deb882cf99 output e4 f9 36 64 83 8a 3f 78 41 82 15 output get wincrypt a0 9d 47 51 1a 7b 32 8e 03 54 c3 someth simpl miss,0.14864864864864866,11,c c++ go winapi wincrypt,wincrypt output match languag,5,crypt|encrypt|password|md5|hash,0.5113045573234558
,2016-02-10 23:25:45.913 UTC,48,35328007,basic problem qt c++ program encod decod custom input base upon affin cipher encod function work flawlessli base function found wikipedia decod run say modulo 26 cannot appli doubl understand return doubl understand mine decod decod function code relev code,0.20833333333333334,10,c++ encryption qt,qt - affin cipher decod,4,encrypt|cipher|decode|encode,0.5036501884460449
certian amount box ada exampl make integ type cannot implcitili interoper ada enumer compat integ type still convert explicitli call attent present-day c++ wrap integ enum class much work someth simpl better yet default thing understand next version c++ go fix least enumer issu guess think someth along line perl taint analysi java possibl custom annot annot processor implement necessarili easi though c++ suppos creat synonym primit type synonym impli someth content variabl replac function app hungarian notat intellisens report synonym use declar use actual hungarian save scroll use go definit yes thing know java c++ customari support manual work customari languag ada exampl equival typedef introduc new type convert implicitli orign one new type inherit basic oper one creat stay useful btw gener inherit good introduc new type even implicit convers one one one type system alreadi enforc huge number safeti featur essenti simpl exampl prevent treat float int one aspect safeti -- guarante type work go behav expect guarante string method call string assembl safeguard exampl job type system ensur call privat function class anoth safeti featur java type system anem enforc lot interest constraint effect mani languag includ c++ type system use enforc far wide-rang rule c++ templat metaprogram give lot tool prohibit bad code exampl enforc compile-tim class copi follow produc compil error likewis ensur compile-tim templat function get call type fulfil certain criteria say must random-access iter bilinear one allow must pod type must kind integ type char short int long type legal textbook exampl templat metaprogram c++ implement librari comput physic unit allow multipli valu type meter anoth valu type automat determin result must type squar meter divid valu type mile valu type hour unit type mile per hour safeti featur prevent get type mix accident get unit mix compil error comput valu try assign wrong type tri divid say liter assign result valu say kilogram result compil error requir manual work certainli languag give tool need basic build type-check want better support directli languag creativ check implement manual case unsafestr subclass string java sinc java.lang.str final gener cannot provid kind secur sourc level - want protect evil code must binari level e.g java bytecod private/protect use secur mechan c++ possibl bypass pointer manipul,2009-07-31 18:37:49.797 UTC,439,1214151,question inspir joel make wrong code look wrong http://www.joelonsoftware.com/articles/wrong.html sometim type enforc semant object beyond interfac exampl java interfac serializ actual defin method fact object implement serializ say someth use unsafestr safestr interfaces/subclass say java use much joel hungarian notat java serializ look bad--it compile? feasibl java/c/c++ type system weak dynamic? beyond input sanit secur function implement manner,0.04783599088838269,21,c++ java security types,take advantag type system make program secur,7,security|unsafe|safe|sanitise|signing|protect|bypass,0.4735338091850281
appl publish open sourc base64 encode/decod recal compil issu window project sourc header exampl,2016-12-29 10:48:52.17 UTC,52,41378155,unsign char array repres imag want show web page array activex control want show web page use javascript convert base64 string question convert unsign char array base64 string c+,0.1346153846153846,7,activex c++ javascript,convert unsign char array base64 string,4,scripting|signing|encode|decode,0.4657730460166931
verifi print key zero-termin string work first key sinc embed zero char second key embed zero char posit 0x81 129 mean 130th charact thu termin output earli awar code leak memori,2014-04-10 02:14:07.133 UTC,94,22977476,block c++ code behav expect unabl figur two encrypt key 512 byte long encod base64 first key decod success abl decrypted.second key decod half therefor invalid yet decod return 512 decod length main.cpp know 64 encod string valid pipe base64 -d command spit encrypt key entireti base64.decode64 rubi compil cheer,0.1702127659574468,16,base64 c++ decode openssl,c++ unabl base64 decod binari data - partial result,7,decode|openssl|encrypt|crypt|encode|validate|leak,0.45321059226989746
