answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
place put implement iprotectfocu iinternetsecuritymanag depend implement queryservic sinc call ccustomcontrolsite::externalqueryinterfac implement need add interfac map macro ccustomcontrolsit class,2014-01-26 08:31:05.05 UTC,97,21361345,know iprotectfocu interfac allowfocuschang function solv focu steal issu cdhtmldialog excut navig function quit clear implement iprotectfocu function code anyon pleas help out? code sampl quit appreci detail implement iinternetsecuritymanag interfac fix javascript activex author issu tri implement iprotectfocu work.i need c++ code thanks! code example:ccustomcontrolsit custom iwebbrows control cinstantanswerdlg cdhtmldialog mfc interfac part implement part add control cdhtmldialog question xprotectfocus::queryinterfac xprotectfocus::allowfocuschang function call xserviceprovider::queryinterfac call wrong,0.12371134020618557,12,activex c++ com focus,iprotectfocu keep cdhtmldialog navig draw focu editbox,5,protect|steal|security|scripting|authorise,0.9863495230674744
crypto api resid advapi dll link capicom deprec use 32 bit cryptacquirecontext advapi exist 64 bit 32 bit window term win32 distinguish .net cryptographi api 64-bit api research resourc probabl updat newer term win64 nativ look msdn make mistak though issu use 64-bit applic except capicom realli 32-bit crypto api work fine 64 bit librari instead work fine differ 32 bit 64 bit librari handl use correct data type call specif pointer width,2012-02-22 17:50:51.057 UTC,149,9400210,c++ develop strong background window develop main question revolv around crypto api function cryptacquirecontext .while research api describ win32 crypto api wonder win64 crypto api? develop applic make win32 crypto api visual studio compil 64 bit mode better compil 32 bit? develop 64 bit applic make crypto api? possibl report problem develop applic 64 bit use crypto api retriev certif carri signatur etc articl welcom,0.10738255033557047,16,c++ cryptoapi cryptography mscapi windows,develop 64 bit applic ms cryptoapi,3,crypt|certificate|signature,0.913480281829834
realli surpris vista window 7 increas secur lot malwar use code inject one step bypass secur mechan window xp glad see microsoft fix,2011-01-24 06:55:17.697 UTC,75,4779417,two friend test execut vista &amp win7 oper system neither inject code execut even run administr consol open/clos code inject via still work vista win7? code compil use /rtcu visual studio 2008 prevent process crash window xp remot thread termin codeinjector.h codeinjector.cpp,0.14666666666666667,11,c++ code-injection windows-7 windows-vista windows-xp,code inject work vista win7,4,inject|security|malware|bypass,0.9002323150634766
sure cannot detect someon use framegrabb card screenshot awar happen happen behind graphic card output detect otherwis pretti simpl applic hook browser prevent event arriv user press printscreen much want browser let alon flash runtim never get notifi browser app limit browser desktop app lot mean hook thing without notifi browser think stuff linux/x-window send pixel wire rdp,2011-06-06 18:57:20.963 UTC,120,6256682,pixel read covertli browser window contain flash + html?i possibl flash browser detect screenshot taken? method captur pixels? one describ read screen pixels? edit background info c++ applic go read pixel browser window happen contain flash regular html javascript browser window possibl detect fact pixel read method get pixel short take photo screen,0.016666666666666666,2,c++ flash security,flash detect screenshot gdi bitcopi taken,2,security|scripting,0.8921281099319458
window solut look say help hinder actual secur,2012-12-08 17:32:53.153 UTC,49,13779985,share librari mylib.so load run time need ensur load right mylib.so / mylib.dl cross platform win/mac/linux method ensur right share librari load think checksum .dll sure retriev actual .dll load run-tim c,0.08163265306122448,4,c++ security shared-libraries windows,ensur secur .dll / .so,2,security|checksum,0.8863460421562195
first statement third method avail c++ nonsens three method possibl c c++ regard secur part depend write self-contain string class eg third method like best class self-manag memori complet string class reli memori allocations/delet main extern part invit forget necessari alloc use string =high probabl bug,2015-04-17 23:26:08.823 UTC,106,29711031,book secur code c c++ author mention three differ way manag string across project caller alloc caller free c99 openbsd c11 annex k calle alloc caller free iso/iec tr 24731-2 calle alloc calle free c++ mention third memori manag mode calle alloc free storag secur three solut avail c++ third mode secur,0.08490566037735849,9,c c++ memory-management security,calle alloc calle free,4,security|authorise|availability|forge,0.8730703592300415
,2015-12-21 10:41:49.083 UTC,63,34393768,anybodi know window api function way window 7/8/10 wire lan wifi adapt allow enabl configur 802.1x authent wire adapt import - credentialsuser+password certif 802.1x authent wire adapt found 802.1x configur command line without specifi credenti netsh lan https://technet.microsoft.com/en-us/library/cc732869v=ws.10.aspx wireless adapt everyth work fine use nativ wifi function wlansetprofil – creat profil wlansetprofileeapxmluserdata – credenti,0.12698412698412698,8,c++ lan radius security windows,wire ieee 802.1x window,5,security|authentication|credential|password|certificate,0.8720934987068176
take look contact outlookspi - click imessag button look properti tri retriev call getprop pr_given_nam pr_surnam hardcod name properti email1addresstyp email1address need appropri guid ids show outlookspi figur properti tag first use getidsfromnam,2013-03-28 13:26:49.163 UTC,101,15683135,use outlook object model follow read outlook contact outlook object model microsoft offic 2010 64 bit window 7 ultim rid outlook secur popup messag found solut internet follow note magic string use code question outlook object model exist codewhich shown code block avoid outlook secur popup pleas check find comment insid code block well,0.039603960396039604,4,c++ email mapi outlook security,disabl outlook secur popup use outlook object model c,1,security,0.870465874671936
pass ppsid await crash guess pointer dereferenc later correct code,2015-12-26 21:15:46.257 UTC,44,34475312,tri creat code administr shut comput learn someth easi see whether work problem unhandl except within lsaremoveaccountright got code japanes site exampl pretti much mine work,0.022727272727272728,1,c++ security visual-c++ winapi windows,call lsaremoveaccountright c,1,security,0.8414322137832642
mani resourc avail question cert c++ secur code guid cert c secur code guid language-agnost write secur code book microsoft press funni know david wheeler secur program linux/unix problem 1 segment fault2 memori leak3 memori alloc error etcthat concern. site link look http://www.deitel.com/resourcecenters/programming/c/csecurity/tabid/1549/default.aspx guess add one common problem c c++ buffer overflow http://en.wikipedia.org/wiki/buffer_overflow#use_of_safe_librari function check boundari instead,2010-10-22 03:31:35.217 UTC,89,3993697,code try security-consci time problem need know look prevent list somewher common c++ softwar vulner avoid them? c++ softwar specif use e.g linux consol softwar web applic,0.1348314606741573,12,c++,c++ common vulner avoid,6,vulnerability|security|availability|leak|buffer overflow|safe,0.8326138854026794
