id,score
"549","5399"
"3486","5"
"4004","42"
"7260","60"
"8021","97"
"18943","13"
"19471","1"
"29061","18"
"29175","1"
"29357","2"
"30946","18"
"38421","21"
"39135","7"
"42115","3"
"46693","4"
"50142","22"
"55845","6"
"56709","6"
"57384","4"
"58621","25"
"61622","4"
"69309","2"
"69627","1"
"74443","11"
"76359","4"
"80612","11"
"84096","56"
"87694","4"
"95297","6"
"96382","8"
"97137","69"
"101362","32"
"101427","7"
"102382","6"
"111451","1"
"112396","1081"
"114052","3"
"118374","16"
"118910","13"
"121123","8"
"121493","0"
"123976","7"
"129629","2"
"132113","2"
"132134","7"
"133393","17"
"144324","2"
"150737","9"
"153220","40"
"153329","5"
"166340","74"
"166508","0"
"167917","9"
"174131","8"
"181341","25"
"182258","22"
"190461","2"
"190771","24"
"190912","5"
"192134","29"
"195509","5"
"196244","3"
"201505","6"
"206438","47"
"209242","14"
"211263","1"
"215498","1"
"221040","3"
"223395","2"
"224049","12"
"229596","6"
"230321","7"
"230845","5"
"230994","-1"
"232228","11"
"233217","149"
"237816","12"
"239194","34"
"243426","1"
"253545","3"
"260236","14"
"260327","0"
"265180","0"
"265579","6"
"271090","3"
"273452","118"
"274659","17"
"275444","8"
"277044","190"
"277100","1"
"278651","1"
"281618","9"
"282762","3"
"288287","0"
"288500","3"
"290236","2"
"292967","0"
"295825","1"
"297850","5"
"300268","3"
"300334","8"
"302936","2"
"304086","3"
"307495","8"
"307722","6"
"308609","2"
"309615","20"
"311389","4"
"313859","7"
"318069","3"
"320923","4"
"322262","1"
"323245","0"
"324904","2"
"327499","5"
"339180","4"
"341966","2"
"343366","2"
"347056","5"
"347088","4"
"348589","0"
"350299","15"
"352172","5"
"354068","1"
"357567","1"
"359342","22"
"360625","4"
"365309","27"
"369291","1"
"369312","5"
"372383","2"
"376551","8"
"379319","0"
"379445","1"
"382353","5"
"386386","0"
"388985","1"
"392928","13"
"393882","12"
"395652","2"
"401656","1182"
"402936","16"
"406179","1"
"410150","0"
"411037","-1"
"412753","3"
"414034","15"
"415310","2"
"416771","5"
"419563","1"
"426294","3"
"426463","4"
"427821","0"
"429352","3"
"429998","2"
"432291","11"
"435912","5"
"440463","55"
"441777","6"
"442923","68"
"447638","11"
"447785","1"
"449497","8"
"452664","7"
"455220","1"
"457307","5"
"457727","3"
"459182","39"
"461800","6"
"463768","3"
"471800","9"
"474698","1"
"476576","0"
"477053","3"
"478498","8"
"488804","6"
"494211","6"
"502001","1"
"506939","2"
"513056","17"
"516438","0"
"518548","8"
"520266","12"
"533200","6"
"536328","3"
"538435","22"
"540738","2"
"544463","37"
"545179","5"
"545294","15"
"550908","1"
"551480","3"
"552681","4"
"561024","12"
"563805","4"
"568995","15"
"570450","10"
"570755","2"
"575157","9"
"585358","3"
"590375","0"
"593952","5"
"595002","5"
"599535","13"
"601995","11"
"602625","1"
"604210","34"
"604792","2"
"606324","2"
"615704","76"
"623299","8"
"630670","2"
"636912","10"
"637727","3"
"639051","3"
"639217","8"
"639845","0"
"641545","3"
"643355","86"
"651713","1"
"652851","6"
"654239","1"
"655691","4"
"656787","2"
"659197","39"
"659737","4"
"659970","128"
"660175","0"
"661185","1"
"661426","2"
"661599","43"
"661819","0"
"663397","3"
"663890","9"
"675119","0"
"681530","1"
"681991","2"
"682306","0"
"683568","0"
"691222","0"
"696472","51"
"696483","0"
"696793","3"
"699264","1"
"703963","0"
"708096","2"
"710834","2"
"711018","1"
"712339","82"
"715096","0"
"721446","11"
"723129","3"
"723653","63"
"724195","0"
"724950","2"
"728143","73"
"728531","6"
"732991","1"
"733435","0"
"733463","0"
"733753","20"
"734887","0"
"740679","1"
"745083","2"
"748622","41"
"752770","1"
"754118","0"
"756133","1"
"764565","3"
"767978","2"
"772858","9"
"774925","6"
"776579","13"
"781312","2"
"784848","1"
"785182","7"
"790232","36"
"793932","0"
"795717","8"
"795888","3"
"797090","35"
"802459","2"
"804155","2"
"804969","6"
"805329","0"
"806131","39"
"808748","1"
"820334","0"
"823746","19"
"826323","1"
"828172","15"
"829838","18"
"830074","47"
"834932","0"
"835124","2"
"836281","1"
"836520","1"
"839280","0"
"840279","16"
"840537","57"
"845344","2"
"848788","9"
"852297","0"
"855302","9"
"855394","6"
"858232","8"
"859218","10"
"861221","0"
"861911","12"
"869089","5"
"869589","28"
"871332","1"
"872929","5"
"874634","50"
"877562","0"
"878520","5"
"881734","15"
"884207","2"
"885439","1"
"885810","1"
"886893","2"
"888346","0"
"895739","20"
"897157","8"
"898175","1"
"900763","3"
"903650","2"
"914069","0"
"914509","1"
"918408","0"
"919983","3"
"920542","3"
"925086","4"
"926137","44"
"929433","0"
"933883","25"
"934171","0"
"938897","0"
"938920","1"
"939040","19"
"941837","0"
"944162","1"
"946019","3"
"949727","18"
"951487","2"
"955975","1"
"964261","1"
"967497","7"
"968064","1"
"975785","4"
"977007","2"
"978350","24"
"980720","3"
"981704","2"
"982682","20"
"983896","0"
"983964","27"
"984633","8"
"992408","4"
"992704","0"
"994487","0"
"1001179","5"
"1002627","1"
"1003960","0"
"1006120","0"
"1006674","7"
"1007066","2"
"1012792","13"
"1013200","2"
"1014593","11"
"1021909","0"
"1024073","1"
"1024730","1"
"1026855","43"
"1027138","3"
"1027693","1"
"1033766","1"
"1037250","2"
"1038904","1"
"1040465","1"
"1040724","3"
"1044986","5"
"1048439","2"
"1050729","5"
"1052184","5"
"1056190","2"
"1057501","2"
"1057871","1"
"1058071","2"
"1061134","2"
"1064203","2"
"1066976","0"
"1070486","4"
"1070835","0"
"1072497","1"
"1074542","0"
"1077466","1"
"1078397","4"
"1079131","6"
"1081976","0"
"1082386","1"
"1084410","0"
"1089896","2"
"1090615","1"
"1091106","7"
"1093532","7"
"1096400","5"
"1103262","1"
"1105818","1"
"1111517","1"
"1113405","0"
"1115832","1"
"1116101","1"
"1122324","0"
"1126684","8"
"1128789","0"
"1130296","11"
"1135446","3"
"1137830","1"
"1139021","2"
"1139137","3"
"1139622","4"
"1149932","2"
"1152872","2"
"1160924","8"
"1163985","1"
"1170738","8"
"1177285","0"
"1182584","35"
"1186251","1"
"1188732","4"
"1191822","4"
"1192485","11"
"1193578","1"
"1196418","24"
"1196997","1"
"1197888","2"
"1198080","1"
"1198900","7"
"1201048","60"
"1203046","0"
"1203120","1"
"1206494","4"
"1213224","1"
"1215556","3"
"1215570","2"
"1218093","11"
"1219899","254"
"1226406","11"
"1238023","3"
"1240851","1"
"1243971","1"
"1244717","7"
"1250319","0"
"1255996","4"
"1257812","8"
"1262081","11"
"1262331","2"
"1263976","0"
"1264262","10"
"1274105","0"
"1275526","3"
"1277276","4"
"1278974","5"
"1280702","9"
"1281102","3"
"1282243","1"
"1283594","15"
"1286578","1"
"1289061","216"
"1293950","55"
"1298450","1"
