id,nanswers
"549","12"
"3027","5"
"3486","9"
"4004","6"
"18943","9"
"19471","1"
"20841","5"
"22519","4"
"23961","4"
"28369","6"
"29175","6"
"30946","14"
"34708","6"
"38421","2"
"42115","4"
"46693","2"
"47323","6"
"50142","9"
"55845","8"
"56709","3"
"58621","10"
"61622","3"
"68792","3"
"69309","5"
"69627","8"
"73947","18"
"76359","2"
"87694","1"
"95297","4"
"96382","5"
"101362","43"
"101427","5"
"102496","8"
"108518","9"
"109293","8"
"111451","1"
"114052","3"
"117352","6"
"117920","4"
"118374","19"
"118463","7"
"118910","6"
"121123","10"
"121493","5"
"123976","7"
"129629","4"
"131017","5"
"132113","1"
"132134","6"
"133393","15"
"138432","5"
"139046","7"
"143632","3"
"144324","2"
"148059","7"
"153329","4"
"166340","9"
"166508","2"
"166639","9"
"167917","8"
"170844","2"
"172392","7"
"174225","4"
"174348","3"
"177331","2"
"177560","3"
"182258","9"
"184328","11"
"186789","8"
"190461","5"
"190771","10"
"194358","3"
"194869","5"
"195509","7"
"196244","2"
"201505","3"
"202011","29"
"205468","4"
"205887","1"
"206438","10"
"208007","10"
"209242","1"
"210832","5"
"211263","5"
"211895","8"
"215498","3"
"216324","3"
"221040","3"
"223395","4"
"223480","4"
"224049","6"
"224272","1"
"228138","5"
"229596","3"
"230321","5"
"230994","7"
"232228","3"
"237816","7"
"239194","6"
"239262","3"
"240713","6"
"243426","3"
"243744","4"
"252180","3"
"252974","2"
"253545","4"
"259897","3"
"260236","7"
"260327","1"
"263367","7"
"265180","2"
"265579","10"
"269713","2"
"273452","10"
"274533","1"
"274659","5"
"275444","6"
"278651","1"
"279693","2"
"281068","4"
"281618","11"
"282762","10"
"288287","1"
"290236","3"
"291102","3"
"291294","2"
"292967","2"
"295825","3"
"297850","3"
"299826","3"
"300268","2"
"302936","2"
"304086","1"
"304284","1"
"306489","1"
"307495","7"
"307722","4"
"311064","11"
"311389","5"
"313859","3"
"318069","2"
"320923","6"
"322262","1"
"323245","1"
"324904","3"
"327499","4"
"337663","2"
"339180","5"
"341966","3"
"343366","2"
"344774","3"
"347056","4"
"347088","4"
"348589","3"
"350299","2"
"352172","4"
"354021","1"
"354068","3"
"355418","2"
"357567","3"
"358967","2"
"359342","9"
"360625","4"
"365309","8"
"369291","2"
"369312","3"
"372383","8"
"372980","5"
"379319","2"
"379445","1"
"382464","4"
"384489","9"
"384725","1"
"386386","1"
"388985","7"
"390677","1"
"392928","4"
"393882","5"
"395652","2"
"401656","14"
"402936","9"
"404806","11"
"406179","8"
"408431","3"
"410150","2"
"412753","6"
"413677","5"
"414034","4"
"415310","2"
"419288","2"
"419563","1"
"426294","1"
"426463","2"
"427821","3"
"429998","2"
"432291","8"
"435408","2"
"441777","10"
"442594","1"
"442898","6"
"442923","6"
"445177","7"
"446467","3"
"447638","2"
"447785","3"
"449497","7"
"449650","5"
"452664","6"
"455220","6"
"455234","2"
"456546","3"
"457307","2"
"457471","10"
"457727","8"
"461800","5"
"463768","4"
"471800","6"
"473531","1"
"474698","5"
"477053","1"
"483197","4"
"485866","2"
"488804","5"
"489119","7"
"494211","5"
"502001","2"
"503666","3"
"507753","1"
"513056","8"
"516438","3"
"518548","4"
"520266","3"
"522967","7"
"525056","3"
"532070","2"
"533200","5"
"533965","14"
"536328","11"
"536584","9"
"538059","1"
"538435","3"
"539348","2"
"543947","3"
"544239","7"
"544463","10"
"545172","2"
"545179","0"
"545294","1"
"550908","2"
"551480","3"
"552681","3"
"555222","4"
"563805","3"
"564684","3"
"568995","4"
"570755","4"
"575817","5"
"583592","3"
"585358","3"
"590375","2"
"590708","4"
"593952","3"
"595114","2"
"599535","7"
"601300","9"
"601995","4"
"602625","2"
"604210","6"
"604792","3"
"606324","4"
"607372","3"
"613962","4"
"615144","2"
"615704","10"
"615954","1"
"623299","4"
"624012","1"
"626303","1"
"629695","7"
"629755","10"
"630670","3"
"636912","9"
"637727","8"
"639051","3"
"639217","3"
"639845","4"
"641545","3"
"643355","9"
"651713","4"
"652851","3"
"654239","5"
"655691","3"
"659197","5"
"659737","5"
"659970","18"
"660175","2"
"661081","1"
"661185","4"
"661426","3"
"661534","1"
"661599","1"
"661819","2"
"675119","1"
"678454","2"
"681530","5"
"681991","1"
"682306","5"
"683568","2"
"689369","1"
"690566","5"
"696472","9"
"696483","2"
"696741","3"
"701078","7"
"703963","5"
"708096","1"
"710402","1"
"710834","3"
"711018","2"
"712339","12"
"715096","6"
"715113","2"
"715264","2"
"715348","10"
"720673","3"
"721446","7"
"723653","5"
"724195","1"
"724950","7"
"725367","3"
"728143","13"
"728706","4"
"732991","2"
"733463","2"
"735778","2"
"740679","5"
"740812","5"
"744050","2"
"745083","3"
"748622","4"
"750919","1"
"752770","4"
"753081","4"
"754118","3"
"757857","6"
"763572","5"
"764565","5"
"767978","1"
"768395","4"
"772858","6"
"774925","10"
"776579","6"
"779959","3"
"781312","1"
"783412","2"
"784848","1"
"785182","2"
"789599","1"
"790232","6"
"793903","5"
"793932","1"
"795717","3"
"795888","5"
"796934","9"
"800685","9"
"802459","1"
"804155","1"
"804969","2"
"806787","6"
"808748","6"
"812945","4"
"822969","2"
"823746","4"
"823853","1"
"823996","2"
"824215","1"
"826323","2"
"827016","5"
"828172","2"
"829838","6"
"830074","6"
"832237","0"
"833262","1"
"835124","4"
"837417","7"
"839280","2"
"840537","7"
"845344","2"
"848788","9"
"849077","5"
"852297","2"
"855302","3"
"855394","3"
"855933","5"
"858232","2"
"861577","1"
"861911","4"
"869089","2"
"870019","10"
"870648","2"
"871332","2"
"871914","5"
"872929","6"
"873562","3"
"874634","1"
"878520","6"
"881734","2"
"884207","1"
"885439","2"
"886893","2"
"893959","7"
"895739","4"
"897157","5"
"897293","1"
"898175","1"
"903650","2"
"904760","3"
"908283","5"
"909819","2"
"912761","2"
"918408","2"
"918676","6"
"920542","3"
"925086","4"
"926137","2"
