id,favorite
"328","181"
"2525","95"
"2688",""
"5611","3"
"10731","5"
"11762","6"
"20227","44"
"21965","13"
"23102","46"
"23270","1"
"23713",""
"25546","2"
"25999","20"
"28965","11"
"31882","3"
"34896","12"
"36296",""
"38846","4"
"39772",""
"39929","1"
"41169","3"
"43992","2"
"47262",""
"51094","344"
"55010",""
"55556","14"
"55572","1"
"58679",""
"59656","8"
"60757","1"
"61057",""
"64258",""
"64631","5"
"65734","2"
"71756",""
"72166","43"
"76210","3"
"76408","15"
"76581",""
"78380",""
"87431",""
"91304","1"
"93771",""
"97614",""
"98026",""
"99001",""
"102788",""
"106001","1"
"107566","4"
"110575","126"
"113090","4"
"113423","29"
"117129","4"
"120116","1"
"121504","1"
"130585",""
"131902","3"
"133549","1"
"134658","1"
"136219",""
"138175",""
"138705","3"
"142431","1"
"142722","6"
"143750","4"
"145540","10"
"148964","1"
"149876",""
"152093",""
"153416",""
"153461",""
"154844","3"
"157924","1"
"158257","1"
"159114","1"
"162031","1"
"162159","93"
"162764","9"
"162915",""
"172486","11"
"172739","4"
"173329","15"
"173727","5"
"175309",""
"176195",""
"180870","23"
"184265","1"
"185149",""
"187736","21"
"193002",""
"195648","11"
"196177","1"
"198462","168"
"204440",""
"210069","2"
"210490",""
"211483",""
"214431",""
"220437","16"
"225475","3"
"228577",""
"231592","2"
"234590","1"
"239905","5"
"241953",""
"242976",""
"243995","0"
"245600","2"
"247110","85"
"247304","185"
"249318","1"
"252156","1"
"253238","1"
"253724","1"
"258299","16"
"258889","3"
"258994","6"
"259534",""
"260664","5"
"269253","2"
"271090","2"
"272409","2"
"272503","53"
"272806",""
"273652","3"
"274560","61"
"275824","7"
"276832","7"
"278571","2"
"284163",""
"285400","4"
"287517","58"
"290630","1"
"299475",""
"300933",""
"301024","12"
"301948","1"
"302279","3"
"305044","5"
"306668","32"
"308406","5"
"308980",""
"312621","0"
"315171",""
"316390","5"
"321061","3"
"325587","2"
"327512",""
"329956","2"
"331468","1"
"335677","0"
"335888","1"
"336057","37"
"341271","16"
"341956",""
"342245","2"
"343078","1"
"346826","3"
"347238","3"
"347945","0"
"348109","164"
"353698","1"
"354472",""
"356116",""
"356562","12"
"357491","1"
"360838","2"
"362401","1"
"365495","2"
"368329","0"
"371928",""
"372933",""
"373071",""
"374748",""
"376071","1"
"380772",""
"382113","4"
"382386",""
"386374","1"
"388699","2"
"390359",""
"396324","1"
"403174","47"
"403489","2"
"407771","1"
"407977","3"
"409807",""
"411410",""
"412440","1"
"412969",""
"413279",""
"413626","1"
"416856","3"
"419738",""
"420854",""
"421848",""
"431698","5"
"433558",""
"433707","2"
"437146","3"
"438142","1"
"438704","4"
"439870","77"
"441052",""
"444181","4"
"446501","1"
"446551","1"
"448963","71"
"454368","1"
"454497","6"
"457014","1"
"457193","4"
"458647",""
"459614",""
"461650","3"
"465180",""
"466672","1"
"466737","27"
"468288","20"
"470382",""
"474259",""
"481743","4"
"483018","4"
"484068",""
"487332",""
"487876",""
"489552",""
"490920","2"
"491930","2"
"493909",""
"498234","4"
"499418","1"
"503967",""
"505606",""
"511396","4"
"516802",""
"518635",""
"524676","3"
"524778",""
"524908","1"
"527360",""
"534664","1"
"535175","1"
"536739","2"
"537989","1"
"539812","23"
"541517","1"
"544433","19"
"546513",""
"547049","1"
"551406",""
"553485","1"
"553545",""
"557979","4"
"558308",""
"558330",""
"559600","4"
"562833",""
"563717","2"
"564221","12"
"568924",""
"569870","0"
"571669",""
"572723","11"
"579130","2"
"587301","1"
"588855","1"
"590298",""
"592238","2"
"593086","2"
"595936","6"
"596004",""
"597142",""
"598844","1"
"598949",""
"600349","1"
"603271",""
"604290",""
"604550",""
"604978","1"
"606179","51"
"611471","1"
"611915","14"
"613233","3"
"613680",""
"615280","2"
"616421",""
"616662","2"
"617714",""
"617833","2"
"620438",""
"622459","8"
"625720","1"
"625768",""
"627353",""
"627918","1"
"631661",""
"636947",""
"637126",""
"639034",""
"641713","1"
"642007",""
"642515","1"
"645135","1"
"663664","1"
"665792","1"
"667887","4"
"674703",""
"678873","2"
"682698","2"
"683549","1"
"684610",""
"685298","7"
"685470","1"
"687059",""
"691276","2"
"694057","2"
"694147","2"
"695813","2"
"696476","1"
"696563","5"
"701801","2"
"703308",""
"703450","2"
"704194","8"
"705533","2"
"705596",""
"707266",""
"713165","1"
"715969",""
"718190","2"
"718611","7"
"721436",""
"726388","1"
"728108","1"
"728164","9"
"732107","1"
"733692","21"
"739850","5"
"740584",""
"741824",""
"745249","1"
"747394","1"
"747866",""
"747876","1"
"748320",""
"752859",""
"753917","1"
"755309","0"
"755994",""
"756353",""
"759069","1"
"762221",""
"763498","1"
"764012","12"
"764533","5"
"764833",""
"765273","1"
"765840","2"
"767010","1"
"768442","3"
"769634","1"
"770164",""
"775702","2"
"775924","1"
"782785",""
"786093","1"
"786661","13"
"787729","4"
"790086",""
"793812","57"
"796059","2"
"796383","3"
"800244",""
"801871",""
"805887","3"
"806739","1"
"810043","6"
"815013","1"
"815220","1"
"815297",""
"815563","1"
"815740","4"
"818512","14"
"820289","2"
"821443",""
"821938",""
"822638","1"
"823184",""
"824822",""
"827989",""
"830919","10"
"834061","4"
"839479","5"
"840668",""
"845623","4"
"846402",""
"852187",""
"853620","106"
"853876","1"
"854961","1"
"858476","5"
"861781",""
"861864","7"
"862042","1"
"862141",""
"862187",""
"862419","0"
"864791","3"
"868482","3"
"876045","1"
"876258",""
"877583",""
"877727",""
"877743",""
"878312","5"
"878538","0"
"879017",""
"879704","3"
"883371","19"
"884781","2"
"885540","1"
"887100","1"
"887565",""
"888052","1"
"890447",""
"890907","14"
"895586","7"
"897020","5"
"898148","1"
"899947",""
"900115",""
"903770",""
"904442","1"
"906910",""
"908726",""
"909750","2"
"910465","33"
"910856","10"
"921550","6"
"925929","2"
"929744","22"
"937048","1"
"938765",""
"939159","4"
"944511","0"
"944833","6"
"945015","9"
"947169","3"
"947618","23"
"948172","54"
"951386","16"
"952019",""
"952847",""
"953712",""
"958331",""
"960190","3"
"961313",""
"964324","3"
"966587",""
"967181","1"
"967762",""
"970600",""
"978361",""
"979360",""
"981226",""
"982616",""
"985830","6"
"988642","12"
"994232","2"
"996965",""
"1003736","6"
"1007065",""
"1007191","3"
"1008601",""
"1010518","2"
"1011055","1"
"1012337",""
"1013107",""
"1013581","2"
"1014042","1"
"1014505","9"
"1019204","10"
"1019217","1"
"1020320","17"
"1023486","1"
"1023981","23"
"1026552","1"
"1028010","20"
"1031772",""
"1032212",""
"1035225",""
"1035283","2"
"1036872",""
"1040679",""
"1041181","2"
"1041509","6"
"1043735",""
"1046234","18"
"1046635","3"
"1046722",""
"1047207",""
"1048537",""
"1049152","2"
"1053542","2"
"1054117",""
"1055460","14"
"1055494","5"
"1057986","14"
"1058462","1"
"1061765","4"
"1063049",""
"1063155","9"
"1066611","42"
"1066898",""
"1066930",""
"1067864",""
"1071106",""
"1080468","0"
"1081025","2"
"1083948","3"
"1085764","1"
