id,score
"328","125"
"657","34"
"1284","24"
"2688","20"
"6847","11"
"11762","40"
"14350","2"
"16003","2"
"19956","2"
"20227","73"
"22880","124"
"23270","4"
"23988","2"
"24468","11"
"25546","5"
"25999","24"
"31865","1"
"31882","8"
"34638","6"
"38779","6"
"38838","14"
"40853","31"
"41220","8"
"44391","16"
"47262","8"
"49226","5"
"51124","5"
"52239","11"
"54200","15"
"55556","23"
"57384","4"
"59022","6"
"64258","3"
"64432","3"
"66870","11"
"70450","47"
"71328","65"
"78380","0"
"80291","2"
"89285","1"
"91304","5"
"92561","5"
"93451","41"
"95852","1"
"96624","10"
"97765","3"
"98026","2"
"99999","8"
"101337","25"
"102788","12"
"103203","3"
"108838","1"
"111763","10"
"113526","7"
"120206","3"
"120977","1"
"121354","1"
"121490","3"
"134988","2"
"135802","23"
"136219","1"
"136837","8"
"137254","8"
"139053","5"
"139199","140"
"139483","0"
"141399","2"
"141427","5"
"145540","18"
"146520","0"
"147491","0"
"148068","17"
"149876","7"
"152093","1"
"153461","1"
"154242","1"
"155400","4"
"159282","2"
"162764","55"
"166411","2"
"172739","0"
"183656","10"
"184319","0"
"185211","3"
"185262","36"
"188491","11"
"188835","4"
"195175","0"
"195717","3"
"196150","5"
"196845","0"
"197268","3"
"197388","8"
"197835","0"
"199017","17"
"200545","22"
"205153","2"
"210069","4"
"210820","2"
"211001","12"
"211385","3"
"216069","0"
"226316","1"
"228476","13"
"232500","15"
"244952","3"
"248789","1"
"253238","0"
"254980","3"
"255723","18"
"259372","0"
"261202","0"
"263818","3"
"266255","22"
"266606","7"
"267451","5"
"270010","1"
"272112","0"
"273165","19"
"273396","29"
"276132","0"
"276177","1"
"279418","3"
"281843","2"
"281970","1"
"284796","0"
"286938","21"
"287517","63"
"290460","0"
"291744","0"
"292276","1"
"297136","8"
"297498","1"
"298535","12"
"299475","2"
"300582","3"
"303096","4"
"304616","8"
"306703","1"
"308756","17"
"309497","7"
"313730","24"
"315240","5"
"317175","7"
"321787","6"
"327097","8"
"331468","2"
"332833","1"
"333812","1"
"340568","10"
"342378","52"
"343488","1"
"344719","5"
"347238","6"
"350588","2"
"350697","1"
"353698","2"
"353799","10"
"353968","6"
"355632","0"
"360348","12"
"362948","2"
"365158","0"
"367180","12"
"373071","3"
"373761","2"
"375390","14"
"380336","8"
"380772","0"
"381890","4"
"382386","1"
"386047","2"
"387104","5"
"388699","7"
"395045","12"
"396164","135"
"403489","4"
"409725","1"
"410253","1"
"412184","2"
"412969","1"
"413137","0"
"413626","5"
"413802","15"
"416856","9"
"420843","223"
"421458","7"
"422903","3"
"427598","26"
"430386","2"
"433558","1"
"433707","5"
"437962","5"
"438142","1"
"438704","10"
"439870","193"
"441052","1"
"442443","20"
"442862","87"
"442995","2"
"443411","17"
"443988","6"
"446501","0"
"448431","1"
"450160","5"
"451623","3"
"454771","2"
"460519","19"
"461120","1"
"466506","6"
"466672","7"
"467391","9"
"471257","2"
"473687","66"
"474259","0"
"478455","0"
"479233","152"
"479838","0"
"481098","3"
"482341","4"
"487739","0"
"488637","1"
"492340","2"
"493531","1"
"495392","7"
"497156","4"
"498521","13"
"499418","6"
"507124","2"
"508538","1"
"519781","7"
"522778","5"
"523627","25"
"525156","8"
"525734","2"
"527360","3"
"527973","5"
"529997","11"
"534664","0"
"535175","2"
"539812","20"
"540496","0"
"542149","2"
"545849","0"
"547049","1"
"549987","3"
"551406","1"
"558360","16"
"559600","7"
"559995","0"
"565425","4"
"568609","13"
"568657","29"
"568924","2"
"571669","0"
"578679","3"
"580534","21"
"585919","3"
"587638","4"
"588327","8"
"592238","1"
"592523","2"
"594443","1"
"596057","2"
"597788","4"
"602539","29"
"604290","2"
"604718","9"
"604978","3"
"605589","0"
"606091","1"
"606099","5"
"606179","52"
"606830","5"
"611471","5"
"619991","3"
"622061","5"
"625720","0"
"627918","4"
"631661","5"
"632503","2"
"637090","3"
"637126","0"
"638057","2"
"639125","3"
"641810","0"
"641875","1"
"642515","11"
"642673","14"
"643414","0"
"643445","27"
"647514","7"
"654758","0"
"655137","6"
"660335","4"
"663768","1"
"664673","81"
"668958","1"
"669295","2"
"669849","4"
"671512","4"
"672506","2"
"675172","3"
"675380","2"
"678471","1"
"680753","7"
"681928","22"
"682698","5"
"684662","1"
"685470","3"
"690473","0"
"691533","1"
